seq	past	split	kappa	stages	task_refs	waits	max_worker_tasks
1	0	16	1	88	2552	2024	88
1	3	16	1	88	2616	2088	88
1	512	16	1	88	18904	4040	144
4	0	16	1	88	3296	5216	88
4	3	16	1	88	3296	5216	88
4	512	16	1	88	19552	7136	144
128	0	16	1	88	36352	115840	156
128	3	16	1	88	36352	115840	156
128	512	16	1	88	48640	115840	204
512	0	16	1	88	145408	410368	568
512	3	16	1	88	145408	410368	568
512	512	16	1	88	145408	410368	568
2048	0	16	1	88	581632	1580800	2272
2048	3	16	1	88	581632	1580800	2272
2048	512	16	1	88	581632	1580800	2272
