workers=256
worker	slot	stage	logical_task
0	0	0	0
0	1	3	0
0	2	4	0
0	3	1	0
0	4	1	256
0	5	2	0
0	6	5	0
0	7	6	0
0	8	8	0
0	9	7	0
0	10	7	256
0	11	10	0
0	12	9	0
0	13	11	0
0	14	11	256
0	15	12	0
0	16	12	256
0	17	13	0
0	18	14	0
0	19	15	0
0	20	15	256
0	21	15	512
0	22	15	768
0	23	16	0
0	24	17	0
0	25	17	256
0	26	17	512
0	27	17	768
0	28	18	0
0	29	19	0
0	30	20	0
0	31	20	256
0	32	21	0
0	33	22	0
0	34	25	0
0	35	26	0
0	36	23	0
0	37	23	256
0	38	24	0
0	39	27	0
0	40	28	0
0	41	30	0
0	42	29	0
0	43	29	256
0	44	32	0
0	45	31	0
0	46	33	0
0	47	33	256
0	48	34	0
0	49	34	256
0	50	35	0
0	51	36	0
0	52	37	0
0	53	37	256
0	54	37	512
0	55	37	768
0	56	38	0
0	57	39	0
0	58	39	256
0	59	39	512
0	60	39	768
0	61	40	0
0	62	41	0
0	63	42	0
0	64	42	256
0	65	43	0
1	0	0	1
1	1	3	1
1	2	4	1
1	3	1	1
1	4	1	257
1	5	2	1
1	6	5	1
1	7	6	1
1	8	8	1
1	9	7	1
1	10	7	257
1	11	10	1
1	12	9	1
1	13	11	1
1	14	11	257
1	15	12	1
1	16	12	257
1	17	13	1
1	18	14	1
1	19	15	1
1	20	15	257
1	21	15	513
1	22	15	769
1	23	16	1
1	24	17	1
1	25	17	257
1	26	17	513
1	27	17	769
1	28	18	1
1	29	19	1
1	30	20	1
1	31	20	257
1	32	21	1
1	33	22	1
1	34	25	1
1	35	26	1
1	36	23	1
1	37	23	257
1	38	24	1
1	39	27	1
1	40	28	1
1	41	30	1
1	42	29	1
1	43	29	257
1	44	32	1
1	45	31	1
1	46	33	1
1	47	33	257
1	48	34	1
1	49	34	257
1	50	35	1
1	51	36	1
1	52	37	1
1	53	37	257
1	54	37	513
1	55	37	769
1	56	38	1
1	57	39	1
1	58	39	257
1	59	39	513
1	60	39	769
1	61	40	1
1	62	41	1
1	63	42	1
1	64	42	257
1	65	43	1
2	0	0	2
2	1	3	2
2	2	4	2
2	3	1	2
2	4	1	258
2	5	2	2
2	6	5	2
2	7	6	2
2	8	8	2
2	9	7	2
2	10	7	258
2	11	10	2
2	12	9	2
2	13	11	2
2	14	11	258
2	15	12	2
2	16	12	258
2	17	13	2
2	18	14	2
2	19	15	2
2	20	15	258
2	21	15	514
2	22	15	770
2	23	16	2
2	24	17	2
2	25	17	258
2	26	17	514
2	27	17	770
2	28	18	2
2	29	19	2
2	30	20	2
2	31	20	258
2	32	21	2
2	33	22	2
2	34	25	2
2	35	26	2
2	36	23	2
2	37	23	258
2	38	24	2
