dtype	model	ownership	seq	past	stage	op	tasks	read_elements	write_elements	depth	barriers	old_ns	new_ns	ratio
bf16	gqa2	element	128	3	0	l0.s00.norm	128	131072	65536	3	8	658.55906297038791	1584.6334921469254	2.4062131724367117
bf16	gqa2	element	128	3	4	l0.s04.rope	256	81920	65536	2	0	329.21450039597977	285.22571811976115	0.86638261005117079
bf16	gqa2	element	128	3	5	l0.s05.rope	128	40960	32768	2	0	271.96369869798991	256.37956402531341	0.94269773963479453
bf16	gqa2	element	128	3	6	l0.s06.append	256	33536	33536	2	0	265.9949487234627	278.81546165432837	1.048198332308161
bf16	gqa2	element	128	3	7	l0.s07.append	256	33536	33536	2	0	265.9949487234627	278.81546165432837	1.048198332308161
bf16	gqa2	element	128	3	8	l0.s08.attn	512	13074432	65536	3	2	15064.537878343199	7185.6772254525349	0.47699287448987565
bf16	gqa2	element	128	3	10	l0.s10.norm	128	131072	65536	3	8	658.55906297038791	1584.6334921469254	2.4062131724367117
bf16	gqa2	element	128	3	13	l0.s13.act	1024	262144	131072	2	0	1190.4188982388848	1038.3387690321194	0.87224654326997497
bf16	gqa2	element	128	3	15	l1.s15.norm	128	131072	65536	3	8	658.55906297038791	1584.6334921469254	2.4062131724367117
bf16	gqa2	element	128	3	19	l1.s19.rope	256	81920	65536	2	0	329.21450039597977	285.22571811976115	0.86638261005117079
bf16	gqa2	element	128	3	20	l1.s20.rope	128	40960	32768	2	0	271.96369869798991	256.37956402531341	0.94269773963479453
bf16	gqa2	element	128	3	21	l1.s21.append	256	33536	33536	2	0	265.9949487234627	278.81546165432837	1.048198332308161
bf16	gqa2	element	128	3	22	l1.s22.append	256	33536	33536	2	0	265.9949487234627	278.81546165432837	1.048198332308161
bf16	gqa2	element	128	3	23	l1.s23.attn	512	13074432	65536	3	2	15064.537878343199	7185.6772254525349	0.47699287448987565
bf16	gqa2	element	128	3	25	l1.s25.norm	128	131072	65536	3	8	658.55906297038791	1584.6334921469254	2.4062131724367117
bf16	gqa2	element	128	3	28	l1.s28.act	1024	262144	131072	2	0	1190.4188982388848	1038.3387690321194	0.87224654326997497
bf16	gqa2	tile	128	3	0	l0.s00.norm	128	131072	65536	3	8	658.55906297038791	1584.6334921469254	2.4062131724367117
bf16	gqa2	tile	128	3	4	l0.s04.rope	512	98304	65536	2	0	329.21450039597977	506.34887158519405	1.5380515468673366
bf16	gqa2	tile	128	3	5	l0.s05.rope	256	49152	32768	2	0	271.96369869798991	253.17443579259702	0.93091260710401658
bf16	gqa2	tile	128	3	6	l0.s06.append	256	32768	32768	2	0	265.9949487234627	246.76417932716419	0.92770250153775868
bf16	gqa2	tile	128	3	7	l0.s07.append	256	32768	32768	2	0	265.9949487234627	246.76417932716419	0.92770250153775868
bf16	gqa2	tile	128	3	8	l0.s08.attn	512	13074432	65536	3	2	15064.537878343199	7185.6772254525349	0.47699287448987565
bf16	gqa2	tile	128	3	10	l0.s10.norm	128	131072	65536	3	8	658.55906297038791	1584.6334921469254	2.4062131724367117
bf16	gqa2	tile	128	3	13	l0.s13.act	128	262144	131072	2	0	1190.4188982388848	419.84110389385069	0.35268350033334228
bf16	gqa2	tile	128	3	15	l1.s15.norm	128	131072	65536	3	8	658.55906297038791	1584.6334921469254	2.4062131724367117
bf16	gqa2	tile	128	3	19	l1.s19.rope	512	98304	65536	2	0	329.21450039597977	506.34887158519405	1.5380515468673366
bf16	gqa2	tile	128	3	20	l1.s20.rope	256	49152	32768	2	0	271.96369869798991	253.17443579259702	0.93091260710401658
bf16	gqa2	tile	128	3	21	l1.s21.append	256	32768	32768	2	0	265.9949487234627	246.76417932716419	0.92770250153775868
bf16	gqa2	tile	128	3	22	l1.s22.append	256	32768	32768	2	0	265.9949487234627	246.76417932716419	0.92770250153775868
bf16	gqa2	tile	128	3	23	l1.s23.attn	512	13074432	65536	3	2	15064.537878343199	7185.6772254525349	0.47699287448987565
bf16	gqa2	tile	128	3	25	l1.s25.norm	128	131072	65536	3	8	658.55906297038791	1584.6334921469254	2.4062131724367117
bf16	gqa2	tile	128	3	28	l1.s28.act	128	262144	131072	2	0	1190.4188982388848	419.84110389385069	0.35268350033334228
