model	stage	op	pieces	checks	max_absolute_rounding_ns	polynomial
gqa2	0	l0.s00.norm	1	16	2.2737367544323206e-13	[s11] -> { 156683403253364927765949113432305/98876745966718109519993372672 : 0 < s11 <= 16 }
gqa2	4	l0.s04.rope	1	16	0	[s11] -> { 12674988511594428122967390799991/49438372983359054759996686336 : 0 < s11 <= 16 }
gqa2	5	l0.s05.rope	1	16	0	[s11] -> { 12674988511594428122967390799991/49438372983359054759996686336 : 0 < s11 <= 16 }
gqa2	6	l0.s06.append	1	16	2.8421709430404007e-14	[s11] -> { 12516532186565899447780302899319/49438372983359054759996686336 : 0 < s11 <= 16 }
gqa2	7	l0.s07.append	1	16	2.8421709430404007e-14	[s11] -> { 12516532186565899447780302899319/49438372983359054759996686336 : 0 < s11 <= 16 }
gqa2	8	l0.s08.attn	16	16	1.1368683772161603e-13	[s11] -> { 283685683652398704708233748149/334043060698371991621599232 : s11 = 14; 8436438069767879296772505972777/12359593245839763689999171584 : s11 = 1; 8594894394796407971959593873449/12359593245839763689999171584 : s11 = 2; 8753350719824936647146681774121/12359593245839763689999171584 : s11 = 3; 8911807044853465322333769674793/12359593245839763689999171584 : s11 = 4; 9070263369881993997520857575465/12359593245839763689999171584 : s11 = 5; 9228719694910522672707945476137/12359593245839763689999171584 : s11 = 6; 9387176019939051347895033376809/12359593245839763689999171584 : s11 = 7; 9545632344967580023082121277481/12359593245839763689999171584 : s11 = 8; 9704088669996108698269209178153/12359593245839763689999171584 : s11 = 9; 9862544995024637373456297078825/12359593245839763689999171584 : s11 = 10; 10021001320053166048643384979497/12359593245839763689999171584 : s11 = 11; 10179457645081694723830472880169/12359593245839763689999171584 : s11 = 12; 10337913970110223399017560780841/12359593245839763689999171584 : s11 = 13; 10654826620167280749391736582185/12359593245839763689999171584 : s11 = 15; 10813282945195809424578824482857/12359593245839763689999171584 : s11 = 16 }
gqa2	10	l0.s10.norm	1	16	2.2737367544323206e-13	[s11] -> { 156683403253364927765949113432305/98876745966718109519993372672 : 0 < s11 <= 16 }
gqa2	13	l0.s13.act	1	16	2.8421709430404007e-14	[s11] -> { 11882706886451784747031951296631/49438372983359054759996686336 : 0 < s11 <= 16 }
gqa2	15	l1.s15.norm	1	16	2.2737367544323206e-13	[s11] -> { 156683403253364927765949113432305/98876745966718109519993372672 : 0 < s11 <= 16 }
gqa2	19	l1.s19.rope	1	16	0	[s11] -> { 12674988511594428122967390799991/49438372983359054759996686336 : 0 < s11 <= 16 }
gqa2	20	l1.s20.rope	1	16	0	[s11] -> { 12674988511594428122967390799991/49438372983359054759996686336 : 0 < s11 <= 16 }
gqa2	21	l1.s21.append	1	16	2.8421709430404007e-14	[s11] -> { 12516532186565899447780302899319/49438372983359054759996686336 : 0 < s11 <= 16 }
gqa2	22	l1.s22.append	1	16	2.8421709430404007e-14	[s11] -> { 12516532186565899447780302899319/49438372983359054759996686336 : 0 < s11 <= 16 }
gqa2	23	l1.s23.attn	16	16	1.1368683772161603e-13	[s11] -> { 283685683652398704708233748149/334043060698371991621599232 : s11 = 14; 8436438069767879296772505972777/12359593245839763689999171584 : s11 = 1; 8594894394796407971959593873449/12359593245839763689999171584 : s11 = 2; 8753350719824936647146681774121/12359593245839763689999171584 : s11 = 3; 8911807044853465322333769674793/12359593245839763689999171584 : s11 = 4; 9070263369881993997520857575465/12359593245839763689999171584 : s11 = 5; 9228719694910522672707945476137/12359593245839763689999171584 : s11 = 6; 9387176019939051347895033376809/12359593245839763689999171584 : s11 = 7; 9545632344967580023082121277481/12359593245839763689999171584 : s11 = 8; 9704088669996108698269209178153/12359593245839763689999171584 : s11 = 9; 9862544995024637373456297078825/12359593245839763689999171584 : s11 = 10; 10021001320053166048643384979497/12359593245839763689999171584 : s11 = 11; 10179457645081694723830472880169/12359593245839763689999171584 : s11 = 12; 10337913970110223399017560780841/12359593245839763689999171584 : s11 = 13; 10654826620167280749391736582185/12359593245839763689999171584 : s11 = 15; 10813282945195809424578824482857/12359593245839763689999171584 : s11 = 16 }
gqa2	25	l1.s25.norm	1	16	2.2737367544323206e-13	[s11] -> { 156683403253364927765949113432305/98876745966718109519993372672 : 0 < s11 <= 16 }
gqa2	28	l1.s28.act	1	16	2.8421709430404007e-14	[s11] -> { 11882706886451784747031951296631/49438372983359054759996686336 : 0 < s11 <= 16 }
