m	n	k	stages	split	kappa	residency	status	work_lb_ns	cp_lb_ns	priority_ns	estimated_work_ns	estimated_stage_cp_ns	register_seed	key	placement	simulated	makespan_ns	floor_ns	cp_ns	queue_lb_ns	nodes	grid	grouping_model	source
128	128	16	2	2	1	2	ok	676782.725430303	0.0	6816472.640001	1745016995.84	6397271.4028571425	0	128x128x16s2k2_k1_r2	wavefront	1	10782409.8647	10462429.1886	6397271.40286	10462429.1886	50624	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/real_s128/plans/128x128x16s2k2_k1_r2/wavefront.cu
128	128	32	2	2	1	2	ok	676782.725430303	0.0	6816472.640001	1745016995.84	6397271.4028571425	0	128x128x32s2k2_k1_r2	wavefront	1	10782409.8647	10462429.1886	6397271.40286	10462429.1886	50624	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/real_s128/plans/128x128x32s2k2_k1_r2/wavefront.cu
128	128	16	2	2	1	2	ok	676782.725430303	0.0	6816472.640001	1745016995.84	6397271.4028571425	0	128x128x16s2k2_k1_r2	rotate	1	10842801.5372	9181070.65143	6397271.40286	9181070.65143	50624	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/real_s128/plans/128x128x16s2k2_k1_r2/rotate.cu
