producer	consumer	producer_stage	consumer_stage	status	task_count	recompute_tasks	conservation	reason
l0.s00.norm	l0.s01.proj	0	1	REJECT				fusion tile constraint: consumer spans multiple producer tasks
l0.s01.proj	l0.s02.proj	1	2	REJECT				fusion consumer is not a single-producer chain node
l0.s02.proj	l0.s03.proj	2	3	REJECT				fusion consumer is not a single-producer chain node
l0.s03.proj	l0.s04.rope	3	4	REJECT				fusion consumer is not a single-producer chain node
l0.s04.rope	l0.s05.rope	4	5	REJECT				fusion consumer is not a single-producer chain node
l0.s05.rope	l0.s06.append	5	6	LEGAL_L_TASK	1024	0	1	[s11, s14] -> { 256 * s11 : s11 > 0 }
l0.s06.append	l0.s07.append	6	7	REJECT				fusion consumer is not a single-producer chain node
l0.s07.append	l0.s08.attn	7	8	REJECT				fusion consumer is not a single-producer chain node
l0.s08.attn	l0.s09.proj	8	9	REJECT				fusion tile constraint: consumer spans multiple producer tasks
l0.s09.proj	l0.s09.add	9	9	EXISTING_RUNTIME_FUSION	4	0	1	[s11] -> { 4 * floor((127 + s11)/128) : s11 > 0 }
l0.s09.add	l0.s10.norm	9	10	REJECT				fusion tile constraint: consumer spans multiple producer tasks
l0.s10.norm	l0.s11.proj	10	11	REJECT				fusion tile constraint: consumer spans multiple producer tasks
l0.s11.proj	l0.s12.proj	11	12	REJECT				fusion consumer is not a single-producer chain node
l0.s12.proj	l0.s13.act	12	13	REJECT				fusion consumer is not a single-producer chain node
l0.s13.act	l0.s14.proj	13	14	REJECT				fusion tile constraint: consumer spans multiple producer tasks
l0.s14.proj	l0.s14.add	14	14	REJECT				fusion consumer is not a single-producer chain node
l0.s14.add	l1.s15.norm	14	15	REJECT				fusion tile constraint: consumer spans multiple producer tasks
l1.s15.norm	l1.s16.proj	15	16	REJECT				fusion tile constraint: consumer spans multiple producer tasks
l1.s16.proj	l1.s17.proj	16	17	REJECT				fusion consumer is not a single-producer chain node
l1.s17.proj	l1.s18.proj	17	18	REJECT				fusion consumer is not a single-producer chain node
l1.s18.proj	l1.s19.rope	18	19	REJECT				fusion consumer is not a single-producer chain node
l1.s19.rope	l1.s20.rope	19	20	REJECT				fusion consumer is not a single-producer chain node
l1.s20.rope	l1.s21.append	20	21	LEGAL_L_TASK	1024	0	1	[s11, s14] -> { 256 * s11 : s11 > 0 }
l1.s21.append	l1.s22.append	21	22	REJECT				fusion consumer is not a single-producer chain node
l1.s22.append	l1.s23.attn	22	23	REJECT				fusion consumer is not a single-producer chain node
l1.s23.attn	l1.s24.proj	23	24	REJECT				fusion tile constraint: consumer spans multiple producer tasks
l1.s24.proj	l1.s24.add	24	24	REJECT				fusion consumer is not a single-producer chain node
l1.s24.add	l1.s25.norm	24	25	REJECT				fusion tile constraint: consumer spans multiple producer tasks
l1.s25.norm	l1.s26.proj	25	26	REJECT				fusion tile constraint: consumer spans multiple producer tasks
l1.s26.proj	l1.s27.proj	26	27	REJECT				fusion consumer is not a single-producer chain node
l1.s27.proj	l1.s28.act	27	28	REJECT				fusion consumer is not a single-producer chain node
l1.s28.act	l1.s29.proj	28	29	REJECT				fusion tile constraint: consumer spans multiple producer tasks
l1.s29.proj	l1.s29.add	29	29	REJECT				fusion consumer is not a single-producer chain node
