cell	class	before	r1_rejected	r2_rejected	r3_rejected	after	evidence
llama_decode_B2	2	618	34	463	0	121	plans/llama_decode_B2/plan.so.search.tsv
llama_decode_B2	3	618	6	417	0	195	plans/llama_decode_B2/plan.so.search.tsv
llama_decode_B2	4	618	34	463	0	121	plans/llama_decode_B2/plan.so.search.tsv
llama_decode_B2	5	103	1	63	0	39	plans/llama_decode_B2/plan.so.search.tsv
llama_decode_B4	0	618	52	450	0	116	plans/llama_decode_B4/plan.so.search.tsv
llama_decode_B4	1	618	34	463	0	121	plans/llama_decode_B4/plan.so.search.tsv
llama_decode_B4	2	618	34	463	0	121	plans/llama_decode_B4/plan.so.search.tsv
llama_decode_B4	3	618	6	417	0	195	plans/llama_decode_B4/plan.so.search.tsv
llama_decode_B4	4	618	34	463	0	121	plans/llama_decode_B4/plan.so.search.tsv
llama_decode_B4	5	103	1	63	0	39	plans/llama_decode_B4/plan.so.search.tsv
llama_decode_B8	0	618	52	450	0	116	plans/llama_decode_B8/plan.so.search.tsv
llama_decode_B8	1	618	34	463	0	121	plans/llama_decode_B8/plan.so.search.tsv
llama_decode_B8	2	618	34	463	0	121	plans/llama_decode_B8/plan.so.search.tsv
llama_decode_B8	3	618	6	417	0	195	plans/llama_decode_B8/plan.so.search.tsv
llama_decode_B8	4	618	34	463	0	121	plans/llama_decode_B8/plan.so.search.tsv
llama_decode_B8	5	103	1	63	0	39	plans/llama_decode_B8/plan.so.search.tsv
llama_decode_B16	0	618	52	450	0	116	plans/llama_decode_B16/plan.so.search.tsv
llama_decode_B16	1	618	34	463	0	121	plans/llama_decode_B16/plan.so.search.tsv
llama_decode_B16	2	618	34	463	0	121	plans/llama_decode_B16/plan.so.search.tsv
llama_decode_B16	3	618	6	417	0	195	plans/llama_decode_B16/plan.so.search.tsv
llama_decode_B16	4	618	34	463	0	121	plans/llama_decode_B16/plan.so.search.tsv
llama_decode_B16	5	103	1	63	0	39	plans/llama_decode_B16/plan.so.search.tsv
qwen3_prefill_B1	0	618	34	276	0	308	plans/qwen3_prefill_B1/plan.so.search.tsv
qwen3_prefill_B1	1	618	34	276	0	308	plans/qwen3_prefill_B1/plan.so.search.tsv
qwen3_prefill_B1	2	618	34	276	0	308	plans/qwen3_prefill_B1/plan.so.search.tsv
qwen3_prefill_B1	3	618	6	162	0	450	plans/qwen3_prefill_B1/plan.so.search.tsv
qwen3_prefill_B1	4	618	34	276	0	308	plans/qwen3_prefill_B1/plan.so.search.tsv
qwen3_prefill_B1	5	103	1	63	0	39	plans/qwen3_prefill_B1/plan.so.search.tsv
qwen3_prefill_B2	0	618	34	233	0	351	plans/qwen3_prefill_B2/plan.so.search.tsv
qwen3_prefill_B2	1	618	34	233	0	351	plans/qwen3_prefill_B2/plan.so.search.tsv
qwen3_prefill_B2	2	618	34	233	0	351	plans/qwen3_prefill_B2/plan.so.search.tsv
qwen3_prefill_B2	3	618	6	104	0	508	plans/qwen3_prefill_B2/plan.so.search.tsv
qwen3_prefill_B2	4	618	34	233	0	351	plans/qwen3_prefill_B2/plan.so.search.tsv
qwen3_prefill_B2	5	103	1	63	0	39	plans/qwen3_prefill_B2/plan.so.search.tsv
qwen3_prefill_B4	0	618	34	233	0	351	plans/qwen3_prefill_B4/plan.so.search.tsv
qwen3_prefill_B4	1	618	34	233	0	351	plans/qwen3_prefill_B4/plan.so.search.tsv
qwen3_prefill_B4	2	618	34	233	0	351	plans/qwen3_prefill_B4/plan.so.search.tsv
qwen3_prefill_B4	3	618	6	104	0	508	plans/qwen3_prefill_B4/plan.so.search.tsv
qwen3_prefill_B4	4	618	34	233	0	351	plans/qwen3_prefill_B4/plan.so.search.tsv
qwen3_prefill_B4	5	103	1	63	0	39	plans/qwen3_prefill_B4/plan.so.search.tsv
qwen3_prefill_B8	0	618	34	233	0	351	plans/qwen3_prefill_B8/plan.so.search.tsv
qwen3_prefill_B8	1	618	34	233	0	351	plans/qwen3_prefill_B8/plan.so.search.tsv
qwen3_prefill_B8	2	618	34	233	0	351	plans/qwen3_prefill_B8/plan.so.search.tsv
qwen3_prefill_B8	3	618	6	104	0	508	plans/qwen3_prefill_B8/plan.so.search.tsv
qwen3_prefill_B8	4	618	34	233	0	351	plans/qwen3_prefill_B8/plan.so.search.tsv
qwen3_prefill_B8	5	103	1	63	0	39	plans/qwen3_prefill_B8/plan.so.search.tsv
qwen3_decode_B1	0	618	34	463	0	121	plans/qwen3_decode_B1/plan.so.search.tsv
qwen3_decode_B1	1	618	34	463	0	121	plans/qwen3_decode_B1/plan.so.search.tsv
qwen3_decode_B1	2	618	34	463	0	121	plans/qwen3_decode_B1/plan.so.search.tsv
qwen3_decode_B1	3	618	6	432	0	180	plans/qwen3_decode_B1/plan.so.search.tsv
qwen3_decode_B1	4	618	34	463	0	121	plans/qwen3_decode_B1/plan.so.search.tsv
qwen3_decode_B1	5	103	1	63	0	39	plans/qwen3_decode_B1/plan.so.search.tsv
qwen3_decode_B2	0	618	34	463	0	121	plans/qwen3_decode_B2/plan.so.search.tsv
qwen3_decode_B2	1	618	34	463	0	121	plans/qwen3_decode_B2/plan.so.search.tsv
qwen3_decode_B2	2	618	34	463	0	121	plans/qwen3_decode_B2/plan.so.search.tsv
qwen3_decode_B2	3	618	6	432	0	180	plans/qwen3_decode_B2/plan.so.search.tsv
qwen3_decode_B2	4	618	34	463	0	121	plans/qwen3_decode_B2/plan.so.search.tsv
qwen3_decode_B2	5	103	1	63	0	39	plans/qwen3_decode_B2/plan.so.search.tsv
qwen3_decode_B4	0	618	34	463	0	121	plans/qwen3_decode_B4/plan.so.search.tsv
qwen3_decode_B4	1	618	34	463	0	121	plans/qwen3_decode_B4/plan.so.search.tsv
qwen3_decode_B4	2	618	34	463	0	121	plans/qwen3_decode_B4/plan.so.search.tsv
qwen3_decode_B4	3	618	6	432	0	180	plans/qwen3_decode_B4/plan.so.search.tsv
qwen3_decode_B4	4	618	34	463	0	121	plans/qwen3_decode_B4/plan.so.search.tsv
qwen3_decode_B4	5	103	1	63	0	39	plans/qwen3_decode_B4/plan.so.search.tsv
qwen3_decode_B8	0	618	34	463	0	121	plans/qwen3_decode_B8/plan.so.search.tsv
qwen3_decode_B8	1	618	34	463	0	121	plans/qwen3_decode_B8/plan.so.search.tsv
qwen3_decode_B8	2	618	34	463	0	121	plans/qwen3_decode_B8/plan.so.search.tsv
qwen3_decode_B8	3	618	6	432	0	180	plans/qwen3_decode_B8/plan.so.search.tsv
qwen3_decode_B8	4	618	34	463	0	121	plans/qwen3_decode_B8/plan.so.search.tsv
qwen3_decode_B8	5	103	1	63	0	39	plans/qwen3_decode_B8/plan.so.search.tsv
qwen3_decode_B16	0	618	34	463	0	121	plans/qwen3_decode_B16/plan.so.search.tsv
qwen3_decode_B16	1	618	34	463	0	121	plans/qwen3_decode_B16/plan.so.search.tsv
qwen3_decode_B16	2	618	34	463	0	121	plans/qwen3_decode_B16/plan.so.search.tsv
qwen3_decode_B16	3	618	6	432	0	180	plans/qwen3_decode_B16/plan.so.search.tsv
qwen3_decode_B16	4	618	34	463	0	121	plans/qwen3_decode_B16/plan.so.search.tsv
qwen3_decode_B16	5	103	1	63	0	39	plans/qwen3_decode_B16/plan.so.search.tsv
