m	n	k	stages	split	kappa	residency	status	work_lb_ns	cp_lb_ns	priority_ns	estimated_work_ns	estimated_stage_sum_ns	register_seed	key
32	16	16	2	1	1	1	project	3660.483490909091	0.0	324896.000001	41586688.0	183706.0	88	32x16x16s2k1_k1_r1
32	16	16	2	1	1	2	project	3660.483490909091	0.0	183706.000001	41586688.0	183706.0	88	32x16x16s2k1_k1_r2
32	16	16	2	1	1	5	project	3660.483490909091	0.0	183706.000001	41586688.0	183706.0	88	32x16x16s2k1_k1_r5
32	16	16	2	1	2	1	project	3660.483490909091	0.0	324896.000002	41586688.0	183706.0	88	32x16x16s2k1_k2_r1
32	16	16	2	1	2	2	project	3660.483490909091	0.0	183706.000002	41586688.0	183706.0	88	32x16x16s2k1_k2_r2
32	16	16	2	1	2	5	project	3660.483490909091	0.0	183706.000002	41586688.0	183706.0	88	32x16x16s2k1_k2_r5
32	16	16	2	1	4	1	project	3660.483490909091	0.0	324896.000004	41586688.0	183706.0	88	32x16x16s2k1_k4_r1
32	16	16	2	1	4	2	project	3660.483490909091	0.0	183706.000004	41586688.0	183706.0	88	32x16x16s2k1_k4_r2
32	16	16	2	1	4	5	project	3660.483490909091	0.0	183706.000004	41586688.0	183706.0	88	32x16x16s2k1_k4_r5
32	16	32	2	1	1	1	project	3660.483490909091	0.0	324896.000001	41586688.0	183706.0	88	32x16x32s2k1_k1_r1
32	16	32	2	1	1	2	project	3660.483490909091	0.0	183706.000001	41586688.0	183706.0	88	32x16x32s2k1_k1_r2
32	16	32	2	1	1	5	project	3660.483490909091	0.0	183706.000001	41586688.0	183706.0	88	32x16x32s2k1_k1_r5
32	16	32	2	1	2	1	project	3660.483490909091	0.0	324896.000002	41586688.0	183706.0	88	32x16x32s2k1_k2_r1
32	16	32	2	1	2	2	project	3660.483490909091	0.0	183706.000002	41586688.0	183706.0	88	32x16x32s2k1_k2_r2
32	16	32	2	1	2	5	project	3660.483490909091	0.0	183706.000002	41586688.0	183706.0	88	32x16x32s2k1_k2_r5
32	16	32	2	1	4	1	project	3660.483490909091	0.0	324896.000004	41586688.0	183706.0	88	32x16x32s2k1_k4_r1
32	16	32	2	1	4	2	project	3660.483490909091	0.0	183706.000004	41586688.0	183706.0	88	32x16x32s2k1_k4_r2
32	16	32	2	1	4	5	project	3660.483490909091	0.0	183706.000004	41586688.0	183706.0	88	32x16x32s2k1_k4_r5
32	16	64	2	1	1	1	project	3660.483490909091	0.0	324896.000001	41586688.0	183706.0	0	32x16x64s2k1_k1_r1
32	16	64	2	1	1	2	project	3660.483490909091	0.0	183706.000001	41586688.0	183706.0	0	32x16x64s2k1_k1_r2
32	16	64	2	1	2	1	project	3660.483490909091	0.0	324896.000002	41586688.0	183706.0	0	32x16x64s2k1_k2_r1
32	16	64	2	1	2	2	project	3660.483490909091	0.0	183706.000002	41586688.0	183706.0	0	32x16x64s2k1_k2_r2
32	16	64	2	1	4	1	project	3660.483490909091	0.0	324896.000004	41586688.0	183706.0	0	32x16x64s2k1_k4_r1
32	16	64	2	1	4	2	project	3660.483490909091	0.0	183706.000004	41586688.0	183706.0	0	32x16x64s2k1_k4_r2
128	128	16	3	1	1	1	project	3660.483490909091	0.0	446090.000001	25867264.0	446090.0	220	128x128x16s3k1_k1_r1
128	128	16	3	1	1	2	project	3660.483490909091	0.0	446090.000001	25867264.0	446090.0	220	128x128x16s3k1_k1_r2
128	128	16	3	1	2	1	project	3660.483490909091	0.0	446090.000002	25867264.0	446090.0	220	128x128x16s3k1_k2_r1
128	128	16	3	1	2	2	project	3660.483490909091	0.0	446090.000002	25867264.0	446090.0	220	128x128x16s3k1_k2_r2
128	128	16	3	1	4	1	project	3660.483490909091	0.0	446090.000004	25867264.0	446090.0	220	128x128x16s3k1_k4_r1
128	128	16	3	1	4	2	project	3660.483490909091	0.0	446090.000004	25867264.0	446090.0	220	128x128x16s3k1_k4_r2
