rank	key	flow_ns	residency	kappa	error
1	16x32x64s16k1;16x32x128s4k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3889647.6109732925	1	1	
2	16x32x64s16k1;16x32x128s5k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3889647.6109732925	1	1	
3	16x32x64s16k1;16x32x128s6k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3889647.6109732925	1	1	
4	16x32x64s16k1;16x32x128s7k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3889647.6109732925	1	1	
5	16x32x64s16k1;16x32x128s8k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3889647.6109732925	1	1	
6	16x32x64s16k1;16x64x128s4k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3889647.6109732925	1	1	
7	16x32x64s16k1;32x32x128s4k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3889647.6109732925	1	1	
8	16x32x64s16k1;32x32x128s5k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3889647.6109732925	1	1	
9	16x32x64s16k1;32x32x128s6k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3889647.6109732925	1	1	
10	16x32x64s16k1;16x32x128s4k1;16x128x64s5k1;16x32x128s5k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3889647.6109732925	1	1	
11	16x32x64s16k1;16x32x128s4k1;16x128x64s5k1;16x32x128s6k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3889647.6109732925	1	1	
12	16x32x64s16k1;16x32x128s4k1;16x128x64s5k1;16x32x128s7k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3889647.6109732925	1	1	
13	16x32x64s16k1;16x32x128s4k1;16x128x64s5k1;16x32x128s8k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3889647.6109732925	1	1	
14	16x32x64s16k1;16x32x128s4k1;16x128x64s5k1;16x64x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3889647.6109732925	1	1	
15	16x32x64s16k1;16x32x128s4k1;16x128x64s5k1;32x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3889647.6109732925	1	1	
16	16x32x64s16k1;16x32x128s4k1;16x128x64s5k1;32x32x128s5k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3889647.6109732925	1	1	
17	16x32x64s16k1;16x32x128s4k1;16x128x64s5k1;32x32x128s6k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3889647.6109732925	1	1	
18	16x32x64s16k1;16x32x128s4k1;16x128x64s5k1;16x32x128s4k1;16x32x128s5k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3889647.6109732925	1	1	
19	16x32x64s16k1;16x32x128s4k1;16x128x64s5k1;16x32x128s4k1;16x32x128s6k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3889647.6109732925	1	1	
20	16x32x64s16k1;16x32x128s4k1;16x128x64s5k1;16x32x128s4k1;16x32x128s7k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3889647.6109732925	1	1	
21	16x32x64s16k1;16x32x128s4k1;16x128x64s5k1;16x32x128s4k1;16x32x128s8k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3889647.6109732925	1	1	
22	16x32x64s16k1;16x32x128s4k1;16x128x64s5k1;16x32x128s4k1;16x64x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3889647.6109732925	1	1	
23	16x32x64s16k1;16x32x128s4k1;16x128x64s5k1;16x32x128s4k1;32x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3889647.6109732925	1	1	
24	16x32x64s16k1;16x32x128s4k1;16x128x64s5k1;16x32x128s4k1;32x32x128s5k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3889647.6109732925	1	1	
25	16x32x64s16k1;16x32x128s4k1;16x128x64s5k1;16x32x128s4k1;32x32x128s6k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3889647.6109732925	1	1	
26	16x32x64s16k1;16x32x128s4k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;32x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3889647.6109732925	1	1	
27	16x32x64s16k1;16x32x128s4k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;64x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3889647.6109732925	1	1	
28	16x32x64s16k1;16x32x128s3k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3890029.0146458442	1	1	
29	16x32x64s16k1;16x64x128s3k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3890029.0146458442	1	1	
30	16x32x64s16k1;32x32x128s3k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3890029.0146458442	1	1	
31	16x32x64s15k1;16x32x128s4k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3890224.1029926357	1	1	
32	16x32x128s8k1;16x32x128s4k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3890224.1029926357	1	1	
33	16x32x64s14k1;16x32x128s4k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3890846.7254475146	1	1	
34	16x32x64s16k1;16x32x64s4k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3891172.406350452	1	1	
35	16x32x64s16k1;16x32x64s5k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3891172.406350452	1	1	
36	16x32x64s16k1;16x32x64s6k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=64;Rq=4	3891172.406350452	1	1	
