event_index	stage	group	fanin	publish_ns
0	0	4294967295	0	0
1	1	4294967295	0	0
2	2	4294967295	0	0
3	3	4294967295	0	0
4	4	4294967295	0	0
5	5	4294967295	0	0
6	6	4294967295	0	0
7	7	4294967295	0	0
8	8	4294967295	0	0
9	9	4294967295	0	0
10	10	4294967295	0	0
11	11	4294967295	0	0
12	12	4294967295	0	0
13	13	4294967295	0	0
14	14	4294967295	0	0
15	15	4294967295	0	0
16	16	4294967295	0	0
17	17	4294967295	0	0
18	18	4294967295	0	0
19	19	4294967295	0	0
20	20	4294967295	0	0
21	21	4294967295	0	0
22	22	4294967295	0	0
23	23	4294967295	0	0
24	24	4294967295	0	0
25	25	4294967295	0	0
26	26	4294967295	0	0
27	27	4294967295	0	0
28	28	4294967295	0	0
29	29	4294967295	0	0
30	30	4294967295	0	0
31	31	4294967295	0	0
32	32	4294967295	0	0
33	33	4294967295	0	0
34	34	4294967295	0	0
35	35	4294967295	0	0
36	36	4294967295	0	0
37	37	4294967295	0	0
38	38	4294967295	0	0
39	39	4294967295	0	0
40	40	4294967295	0	0
41	41	4294967295	0	0
42	42	4294967295	0	0
43	43	4294967295	0	0
44	0	0	4	1789678802897443840
45	1	0	4	1789678802897451008
46	1	1	4	1789678802897449984
47	1	2	4	1789678802897449984
48	1	3	4	1789678802897449984
49	1	4	4	1789678802897449984
50	1	5	4	1789678802897449984
51	1	6	4	1789678802897449984
52	1	7	4	1789678802897449984
53	1	8	4	1789678802897449984
54	1	9	4	1789678802897449984
55	1	10	4	1789678802897449984
56	1	11	4	1789678802897448960
57	1	12	4	1789678802897449984
58	1	13	4	1789678802897449984
59	1	14	4	1789678802897449984
60	1	15	4	1789678802897448960
61	1	16	4	1789678802897449984
62	1	17	4	1789678802897449984
63	1	18	4	1789678802897448960
64	1	19	4	1789678802897449984
65	1	20	4	1789678802897449984
66	1	21	4	1789678802897449984
67	1	22	4	1789678802897449984
68	1	23	4	1789678802897449984
69	1	24	4	1789678802897449984
70	1	25	4	1789678802897449984
71	1	26	4	1789678802897449984
72	1	27	4	1789678802897449984
73	1	28	4	1789678802897449984
74	1	29	4	1789678802897449984
75	1	30	4	1789678802897448960
76	1	31	4	1789678802897448960
77	1	32	4	1789678802897449984
78	1	33	4	1789678802897448960
79	1	34	4	1789678802897449984
80	1	35	4	1789678802897448960
81	1	36	4	1789678802897449984
82	1	37	4	1789678802897448960
83	1	38	4	1789678802897449984
84	1	39	4	1789678802897449984
85	1	40	4	1789678802897449984
86	1	41	4	1789678802897449984
87	1	42	4	1789678802897449984
88	1	43	4	1789678802897449984
89	1	44	4	1789678802897449984
90	1	45	4	1789678802897449984
91	1	46	4	1789678802897449984
92	1	47	4	1789678802897449984
93	1	48	4	1789678802897449984
94	1	49	4	1789678802897449984
95	1	50	4	1789678802897449984
96	1	51	4	1789678802897449984
97	1	52	4	1789678802897449984
98	1	53	4	1789678802897448960
99	1	54	4	1789678802897449984
100	1	55	4	1789678802897448960
101	1	56	4	1789678802897449984
102	1	57	4	1789678802897448960
103	1	58	4	1789678802897449984
104	1	59	4	1789678802897449984
105	1	60	4	1789678802897449984
106	1	61	4	1789678802897449984
107	1	62	4	1789678802897449984
108	1	63	4	1789678802897449984
109	2	4294967295	32	1789678802897454080
110	3	0	4	1789678802897449984
111	3	1	4	1789678802897449984
112	3	2	4	1789678802897449984
113	3	3	4	1789678802897449984
114	3	4	4	1789678802897449984
115	3	5	4	1789678802897449984
116	3	6	4	1789678802897449984
117	3	7	4	1789678802897449984
118	3	8	4	1789678802897449984
119	3	9	4	1789678802897449984
120	3	10	4	1789678802897449984
121	3	11	4	1789678802897449984
122	3	12	4	1789678802897449984
123	3	13	4	1789678802897449984
124	3	14	4	1789678802897449984
125	3	15	4	1789678802897449984
126	3	16	4	1789678802897449984
127	3	17	4	1789678802897449984
128	3	18	4	1789678802897449984
129	3	19	4	1789678802897449984
130	3	20	4	1789678802897449984
131	3	21	4	1789678802897449984
132	3	22	4	1789678802897449984
133	3	23	4	1789678802897449984
134	3	24	4	1789678802897449984
135	3	25	4	1789678802897449984
136	3	26	4	1789678802897449984
137	3	27	4	1789678802897449984
138	3	28	4	1789678802897449984
