m	n	k	stages	split	kappa	residency	status	work_lb_ns	cp_lb_ns	priority_ns	estimated_work_ns	estimated_stage_cp_ns	register_seed	key	placement	simulated	makespan_ns	floor_ns	cp_ns	queue_lb_ns	nodes	grid	grouping_model	source
32	16	16	2	1	1	2	ok	254.20024242424242	0.0	131036.000001	5369728.0	131036.0	88	32x16x16s2k1_k1_r2	rotate	1	289918.428171	131036	131036	26928	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k1_r2/rotate.cu
32	16	16	2	1	1	2	ok	254.20024242424242	0.0	131036.000001	5369728.0	131036.0	88	32x16x16s2k1_k1_r2	wavefront	1	289918.428171	131036	131036	130752	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k1_r2/wavefront.cu
32	16	16	2	1	1	5	ok	254.20024242424242	0.0	131036.000001	5369728.0	131036.0	88	32x16x16s2k1_k1_r5	rotate	1	289918.428171	131036	131036	16704	1520	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k1_r5/rotate.cu
32	16	16	2	1	1	5	ok	254.20024242424242	0.0	131036.000001	5369728.0	131036.0	88	32x16x16s2k1_k1_r5	wavefront	1	289918.428171	131036	131036	130752	1520	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k1_r5/wavefront.cu
32	16	16	2	1	1	5	ok	254.20024242424242	0.0	131036.000001	5369728.0	131036.0	88	32x16x16s2k1_k1_r5	chain	1	289918.428171	131036	131036	26000	1520	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k1_r5/chain.cu
32	16	32	2	1	1	1	ok	254.20024242424242	0.0	131036.000001	5369728.0	131036.0	88	32x16x32s2k1_k1_r1	rotate	1	289918.428171	131036	131036	53184	1520	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k1_r1/rotate.cu
32	16	32	2	1	1	1	ok	254.20024242424242	0.0	131036.000001	5369728.0	131036.0	88	32x16x32s2k1_k1_r1	wavefront	1	289918.428171	131036	131036	130752	1520	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k1_r1/wavefront.cu
32	16	32	2	1	1	2	ok	254.20024242424242	0.0	131036.000001	5369728.0	131036.0	88	32x16x32s2k1_k1_r2	rotate	1	289918.428171	131036	131036	26928	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k1_r2/rotate.cu
32	16	32	2	1	1	2	ok	254.20024242424242	0.0	131036.000001	5369728.0	131036.0	88	32x16x32s2k1_k1_r2	wavefront	1	289918.428171	131036	131036	130752	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k1_r2/wavefront.cu
32	16	32	2	1	1	5	ok	254.20024242424242	0.0	131036.000001	5369728.0	131036.0	88	32x16x32s2k1_k1_r5	rotate	1	289918.428171	131036	131036	16704	1520	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k1_r5/rotate.cu
32	16	32	2	1	1	5	ok	254.20024242424242	0.0	131036.000001	5369728.0	131036.0	88	32x16x32s2k1_k1_r5	wavefront	1	289918.428171	131036	131036	130752	1520	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k1_r5/wavefront.cu
32	16	32	2	1	1	5	ok	254.20024242424242	0.0	131036.000001	5369728.0	131036.0	88	32x16x32s2k1_k1_r5	chain	1	289918.428171	131036	131036	26000	1520	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k1_r5/chain.cu
32	16	64	2	1	1	1	ok	254.20024242424242	0.0	131036.000001	5369728.0	131036.0	0	32x16x64s2k1_k1_r1	rotate	1	289918.428171	131036	131036	53184	1520	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x64s2k1_k1_r1/rotate.cu
32	16	64	2	1	1	1	ok	254.20024242424242	0.0	131036.000001	5369728.0	131036.0	0	32x16x64s2k1_k1_r1	wavefront	1	289918.428171	131036	131036	130752	1520	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x64s2k1_k1_r1/wavefront.cu
32	16	64	2	1	1	2	ok	254.20024242424242	0.0	131036.000001	5369728.0	131036.0	0	32x16x64s2k1_k1_r2	rotate	1	289918.428171	131036	131036	26928	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x64s2k1_k1_r2/rotate.cu
32	16	64	2	1	1	2	ok	254.20024242424242	0.0	131036.000001	5369728.0	131036.0	0	32x16x64s2k1_k1_r2	wavefront	1	289918.428171	131036	131036	130752	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x64s2k1_k1_r2/wavefront.cu
32	16	16	2	1	2	1	ok	254.20024242424242	0.0	131036.000002	5369728.0	131036.0	88	32x16x16s2k1_k2_r1	eft	1	289918.428171	131036	131036	131036	1520	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k2_r1/eft.cu
32	16	16	2	1	2	1	ok	254.20024242424242	0.0	131036.000002	5369728.0	131036.0	88	32x16x16s2k1_k2_r1	rotate	1	289918.428171	131036	131036	53184	1520	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k2_r1/rotate.cu
32	16	16	2	1	2	1	ok	254.20024242424242	0.0	131036.000002	5369728.0	131036.0	88	32x16x16s2k1_k2_r1	wavefront	1	289918.428171	131036	131036	130752	1520	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k2_r1/wavefront.cu
32	16	16	2	1	2	2	ok	254.20024242424242	0.0	131036.000002	5369728.0	131036.0	88	32x16x16s2k1_k2_r2	eft	1	289918.428171	131036	131036	131036	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k2_r2/eft.cu
32	16	16	2	1	2	2	ok	254.20024242424242	0.0	131036.000002	5369728.0	131036.0	88	32x16x16s2k1_k2_r2	rotate	1	289918.428171	131036	131036	26928	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k2_r2/rotate.cu
32	16	16	2	1	2	2	ok	254.20024242424242	0.0	131036.000002	5369728.0	131036.0	88	32x16x16s2k1_k2_r2	wavefront	1	289918.428171	131036	131036	130752	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k2_r2/wavefront.cu
32	16	16	2	1	2	5	ok	254.20024242424242	0.0	131036.000002	5369728.0	131036.0	88	32x16x16s2k1_k2_r5	eft	1	289918.428171	131036	131036	131036	1520	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k2_r5/eft.cu
32	16	16	2	1	2	5	ok	254.20024242424242	0.0	131036.000002	5369728.0	131036.0	88	32x16x16s2k1_k2_r5	rotate	1	289918.428171	131036	131036	16704	1520	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k2_r5/rotate.cu
32	16	16	2	1	2	5	ok	254.20024242424242	0.0	131036.000002	5369728.0	131036.0	88	32x16x16s2k1_k2_r5	wavefront	1	289918.428171	131036	131036	130752	1520	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k2_r5/wavefront.cu
32	16	16	2	1	2	5	ok	254.20024242424242	0.0	131036.000002	5369728.0	131036.0	88	32x16x16s2k1_k2_r5	chain	1	289918.428171	131036	131036	26000	1520	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k2_r5/chain.cu
32	16	32	2	1	2	1	ok	254.20024242424242	0.0	131036.000002	5369728.0	131036.0	88	32x16x32s2k1_k2_r1	eft	1	289918.428171	131036	131036	131036	1520	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k2_r1/eft.cu
32	16	32	2	1	2	1	ok	254.20024242424242	0.0	131036.000002	5369728.0	131036.0	88	32x16x32s2k1_k2_r1	rotate	1	289918.428171	131036	131036	53184	1520	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k2_r1/rotate.cu
32	16	32	2	1	2	1	ok	254.20024242424242	0.0	131036.000002	5369728.0	131036.0	88	32x16x32s2k1_k2_r1	wavefront	1	289918.428171	131036	131036	130752	1520	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k2_r1/wavefront.cu
32	16	32	2	1	2	2	ok	254.20024242424242	0.0	131036.000002	5369728.0	131036.0	88	32x16x32s2k1_k2_r2	eft	1	289918.428171	131036	131036	131036	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k2_r2/eft.cu
32	16	32	2	1	2	2	ok	254.20024242424242	0.0	131036.000002	5369728.0	131036.0	88	32x16x32s2k1_k2_r2	rotate	1	289918.428171	131036	131036	26928	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k2_r2/rotate.cu
32	16	32	2	1	2	2	ok	254.20024242424242	0.0	131036.000002	5369728.0	131036.0	88	32x16x32s2k1_k2_r2	wavefront	1	289918.428171	131036	131036	130752	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k2_r2/wavefront.cu
32	16	32	2	1	2	5	ok	254.20024242424242	0.0	131036.000002	5369728.0	131036.0	88	32x16x32s2k1_k2_r5	eft	1	289918.428171	131036	131036	131036	1520	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k2_r5/eft.cu
32	16	32	2	1	2	5	ok	254.20024242424242	0.0	131036.000002	5369728.0	131036.0	88	32x16x32s2k1_k2_r5	rotate	1	289918.428171	131036	131036	16704	1520	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k2_r5/rotate.cu
32	16	32	2	1	2	5	ok	254.20024242424242	0.0	131036.000002	5369728.0	131036.0	88	32x16x32s2k1_k2_r5	wavefront	1	289918.428171	131036	131036	130752	1520	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k2_r5/wavefront.cu
32	16	32	2	1	2	5	ok	254.20024242424242	0.0	131036.000002	5369728.0	131036.0	88	32x16x32s2k1_k2_r5	chain	1	289918.428171	131036	131036	26000	1520	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k2_r5/chain.cu
32	16	64	2	1	2	1	ok	254.20024242424242	0.0	131036.000002	5369728.0	131036.0	0	32x16x64s2k1_k2_r1	eft	1	289918.428171	131036	131036	131036	1520	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x64s2k1_k2_r1/eft.cu
32	16	64	2	1	2	1	ok	254.20024242424242	0.0	131036.000002	5369728.0	131036.0	0	32x16x64s2k1_k2_r1	rotate	1	289918.428171	131036	131036	53184	1520	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x64s2k1_k2_r1/rotate.cu
32	16	64	2	1	2	1	ok	254.20024242424242	0.0	131036.000002	5369728.0	131036.0	0	32x16x64s2k1_k2_r1	wavefront	1	289918.428171	131036	131036	130752	1520	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x64s2k1_k2_r1/wavefront.cu
32	16	64	2	1	2	2	ok	254.20024242424242	0.0	131036.000002	5369728.0	131036.0	0	32x16x64s2k1_k2_r2	eft	1	289918.428171	131036	131036	131036	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x64s2k1_k2_r2/eft.cu
32	16	64	2	1	2	2	ok	254.20024242424242	0.0	131036.000002	5369728.0	131036.0	0	32x16x64s2k1_k2_r2	rotate	1	289918.428171	131036	131036	26928	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x64s2k1_k2_r2/rotate.cu
32	16	64	2	1	2	2	ok	254.20024242424242	0.0	131036.000002	5369728.0	131036.0	0	32x16x64s2k1_k2_r2	wavefront	1	289918.428171	131036	131036	130752	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x64s2k1_k2_r2/wavefront.cu
32	16	16	2	1	4	1	ok	254.20024242424242	0.0	131036.000004	5369728.0	131036.0	88	32x16x16s2k1_k4_r1	eft	1	289918.428171	131036	131036	131036	1520	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k4_r1/eft.cu
32	16	16	2	1	4	1	ok	254.20024242424242	0.0	131036.000004	5369728.0	131036.0	88	32x16x16s2k1_k4_r1	rotate	1	289918.428171	131036	131036	53184	1520	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k4_r1/rotate.cu
32	16	16	2	1	4	1	ok	254.20024242424242	0.0	131036.000004	5369728.0	131036.0	88	32x16x16s2k1_k4_r1	wavefront	1	289918.428171	131036	131036	130752	1520	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k4_r1/wavefront.cu
32	16	16	2	1	4	2	ok	254.20024242424242	0.0	131036.000004	5369728.0	131036.0	88	32x16x16s2k1_k4_r2	eft	1	289918.428171	131036	131036	131036	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k4_r2/eft.cu
32	16	16	2	1	4	2	ok	254.20024242424242	0.0	131036.000004	5369728.0	131036.0	88	32x16x16s2k1_k4_r2	rotate	1	289918.428171	131036	131036	26928	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k4_r2/rotate.cu
32	16	16	2	1	4	2	ok	254.20024242424242	0.0	131036.000004	5369728.0	131036.0	88	32x16x16s2k1_k4_r2	wavefront	1	289918.428171	131036	131036	130752	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k4_r2/wavefront.cu
32	16	16	2	1	4	5	ok	254.20024242424242	0.0	131036.000004	5369728.0	131036.0	88	32x16x16s2k1_k4_r5	eft	1	289918.428171	131036	131036	131036	1520	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k4_r5/eft.cu
32	16	16	2	1	4	5	ok	254.20024242424242	0.0	131036.000004	5369728.0	131036.0	88	32x16x16s2k1_k4_r5	rotate	1	289918.428171	131036	131036	16704	1520	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k4_r5/rotate.cu
32	16	16	2	1	4	5	ok	254.20024242424242	0.0	131036.000004	5369728.0	131036.0	88	32x16x16s2k1_k4_r5	wavefront	1	289918.428171	131036	131036	130752	1520	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k4_r5/wavefront.cu
32	16	16	2	1	4	5	ok	254.20024242424242	0.0	131036.000004	5369728.0	131036.0	88	32x16x16s2k1_k4_r5	chain	1	289918.428171	131036	131036	26000	1520	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k4_r5/chain.cu
32	16	32	2	1	4	1	ok	254.20024242424242	0.0	131036.000004	5369728.0	131036.0	88	32x16x32s2k1_k4_r1	eft	1	289918.428171	131036	131036	131036	1520	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k4_r1/eft.cu
32	16	32	2	1	4	1	ok	254.20024242424242	0.0	131036.000004	5369728.0	131036.0	88	32x16x32s2k1_k4_r1	rotate	1	289918.428171	131036	131036	53184	1520	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k4_r1/rotate.cu
32	16	32	2	1	4	1	ok	254.20024242424242	0.0	131036.000004	5369728.0	131036.0	88	32x16x32s2k1_k4_r1	wavefront	1	289918.428171	131036	131036	130752	1520	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k4_r1/wavefront.cu
32	16	32	2	1	4	2	ok	254.20024242424242	0.0	131036.000004	5369728.0	131036.0	88	32x16x32s2k1_k4_r2	eft	1	289918.428171	131036	131036	131036	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k4_r2/eft.cu
32	16	32	2	1	4	2	ok	254.20024242424242	0.0	131036.000004	5369728.0	131036.0	88	32x16x32s2k1_k4_r2	rotate	1	289918.428171	131036	131036	26928	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k4_r2/rotate.cu
32	16	32	2	1	4	2	ok	254.20024242424242	0.0	131036.000004	5369728.0	131036.0	88	32x16x32s2k1_k4_r2	wavefront	1	289918.428171	131036	131036	130752	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k4_r2/wavefront.cu
32	16	32	2	1	4	5	ok	254.20024242424242	0.0	131036.000004	5369728.0	131036.0	88	32x16x32s2k1_k4_r5	eft	1	289918.428171	131036	131036	131036	1520	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k4_r5/eft.cu
32	16	32	2	1	4	5	ok	254.20024242424242	0.0	131036.000004	5369728.0	131036.0	88	32x16x32s2k1_k4_r5	rotate	1	289918.428171	131036	131036	16704	1520	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k4_r5/rotate.cu
32	16	32	2	1	4	5	ok	254.20024242424242	0.0	131036.000004	5369728.0	131036.0	88	32x16x32s2k1_k4_r5	wavefront	1	289918.428171	131036	131036	130752	1520	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k4_r5/wavefront.cu
32	16	32	2	1	4	5	ok	254.20024242424242	0.0	131036.000004	5369728.0	131036.0	88	32x16x32s2k1_k4_r5	chain	1	289918.428171	131036	131036	26000	1520	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k4_r5/chain.cu
32	16	64	2	1	4	1	ok	254.20024242424242	0.0	131036.000004	5369728.0	131036.0	0	32x16x64s2k1_k4_r1	eft	1	289918.428171	131036	131036	131036	1520	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x64s2k1_k4_r1/eft.cu
32	16	64	2	1	4	1	ok	254.20024242424242	0.0	131036.000004	5369728.0	131036.0	0	32x16x64s2k1_k4_r1	rotate	1	289918.428171	131036	131036	53184	1520	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x64s2k1_k4_r1/rotate.cu
32	16	64	2	1	4	1	ok	254.20024242424242	0.0	131036.000004	5369728.0	131036.0	0	32x16x64s2k1_k4_r1	wavefront	1	289918.428171	131036	131036	130752	1520	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x64s2k1_k4_r1/wavefront.cu
32	16	64	2	1	4	2	ok	254.20024242424242	0.0	131036.000004	5369728.0	131036.0	0	32x16x64s2k1_k4_r2	eft	1	289918.428171	131036	131036	131036	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x64s2k1_k4_r2/eft.cu
32	16	64	2	1	4	2	ok	254.20024242424242	0.0	131036.000004	5369728.0	131036.0	0	32x16x64s2k1_k4_r2	rotate	1	289918.428171	131036	131036	26928	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x64s2k1_k4_r2/rotate.cu
32	16	64	2	1	4	2	ok	254.20024242424242	0.0	131036.000004	5369728.0	131036.0	0	32x16x64s2k1_k4_r2	wavefront	1	289918.428171	131036	131036	130752	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x64s2k1_k4_r2/wavefront.cu
32	16	16	2	1	1	1	ok	254.20024242424242	0.0	131036.000001	5369728.0	131036.0	88	32x16x16s2k1_k1_r1	chain	1	299491.564928	131036	131036	48528	1520	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k1_r1/chain.cu
32	16	32	2	1	1	1	ok	254.20024242424242	0.0	131036.000001	5369728.0	131036.0	88	32x16x32s2k1_k1_r1	chain	1	299491.564928	131036	131036	48528	1520	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k1_r1/chain.cu
32	16	64	2	1	1	1	ok	254.20024242424242	0.0	131036.000001	5369728.0	131036.0	0	32x16x64s2k1_k1_r1	chain	1	299491.564928	131036	131036	48528	1520	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x64s2k1_k1_r1/chain.cu
32	16	16	2	1	1	2	ok	254.20024242424242	0.0	131036.000001	5369728.0	131036.0	88	32x16x16s2k1_k1_r2	chain	1	311709.438395	131036	131036	29664	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k1_r2/chain.cu
32	16	32	2	1	1	2	ok	254.20024242424242	0.0	131036.000001	5369728.0	131036.0	88	32x16x32s2k1_k1_r2	chain	1	311709.438395	131036	131036	29664	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x32s2k1_k1_r2/chain.cu
32	16	64	2	1	1	2	ok	254.20024242424242	0.0	131036.000001	5369728.0	131036.0	0	32x16x64s2k1_k1_r2	chain	1	311709.438395	131036	131036	29664	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x64s2k1_k1_r2/chain.cu
32	16	16	2	1	2	2	ok	254.20024242424242	0.0	131036.000002	5369728.0	131036.0	88	32x16x16s2k1_k2_r2	chain	1	311709.438395	131036	131036	29664	1520	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s4/plans/32x16x16s2k1_k2_r2/chain.cu
