model	seq	past	candidate	status	makespan_ns	busiest_worker_ns	busiest_worker	total_block_ns	solo_work_ns	critical_path_ns	cross_worker_edges	same_worker_edges	max_queue	max_queue_ns	spine_length_ns	critical_path_hops	critical_path_same_worker_edges	critical_path_queue_edges	critical_path_len	eval_us
mha4	128	3	balanced	ok	1244432.106	171884.1002	72	245148396.7	9659072.598	368091.9372	2141676	20528	80	171415.2806	0	36	0	518	554	6627.452
mha4	128	3	eft	ok	437123.8372	393704.4221	0	84177871.92	9659072.598	370684.2995	2150680	11524	74	375875.932	0	36	0	35	71	6783.84
mha4	128	3	band	ok	652960.3846	613609.2326	0	136656941.1	9659072.598	370709.9406	2149540	12664	80	594098.2753	0	35	0	28	63	7010.729
mha4	128	3	wavefront	ok	437117.0159	393963.9966	0	83743939.4	9659072.598	370684.2995	2149540	12664	68	374453.0392	0	35	0	32	67	7135.646
mha4	128	3	chain	ok	530126.2503	368282.1177	0	107535821.2	9659072.598	375858.0411	2149260	12944	53	362813.1907	362813.1907	39	20	28	87	6917.978
real	128	3	legacy_grid_stride	ok	5901165.621	5862955.571	0	991507548.7	298164759.4	3755506.325	34829792	158464	216	5647690.4	0	31	0	184	215	95561.227
real	128	3	rotate	ok	4760049.018	2228235.244	32	645515989	298164759.4	4313798.018	34831456	156800	188	1583209.673	0	35	0	168	203	94254.52
real	128	3	balanced	ok	12057609.68	4316885.067	248	1151463479	298164759.4	3731375.464	34574696	413560	216	4309624.235	0	35	0	1063	1098	88114.512
real	128	3	eft	ok	4760049.159	4716927.841	0	703847866.3	298164759.4	3740784.153	34836576	151680	220	4536554.202	0	35	0	184	219	95555.288
real	128	3	band	ok	5901165.621	5862955.571	0	991507548.7	298164759.4	3755506.325	34829792	158464	216	5647690.4	0	31	0	184	215	92598.018
real	128	3	wavefront	ok	4760060.384	4716927.841	0	631293937.7	298164759.4	4313798.018	34830560	157696	204	3928648.804	0	35	0	168	203	91599.89
real	128	3	chain	ok	5404709.863	4311761.687	8	804363289.8	298164759.4	4313798.018	34816932	171324	229	3727083.893	3727083.893	39	88	108	235	93837.746
