model	seq	source	nodes	observed	solo_work_ns	spine_length_ns	max_queue_ns	chain_count	chain_interleaves	split_count	makespan_ns	fill_overflows	worker_diff	solve_us
gqa2	4	cost_model	200	200	1336932.147	179816.8517	179816.8517	84	0	0	200798.5302	0	0	158.877
gqa2	4	trace	200	200	1646592	223232	223232	84	0	0	244213.6784	0	97	157.955
mha4	4	cost_model	512	512	2989285.765	359633.7035	359633.7035	228	0	0	402829.1153	0	0	642.788
mha4	4	trace	512	512	3682304	448512	448512	228	0	0	491707.4118	0	240	615.513
real	4	cost_model	2800	2800	237206288.6	3718801.46	3718801.46	32	0	0	3905226.552	0	0	11363.703
gqa2	128	cost_model	4416	4416	4322127.644	181406.5953	181406.5953	36	0	0	215191.27	0	0	139526.085
gqa2	128	trace	4416	4416	25300344.71	314368	314368	4	0	0	448121.6949	47	4359	144949.876
mha4	128	cost_model	11920	11920	9659072.598	362813.1907	362813.1907	4	0	0	508348.0517	736	0	585795.541
mha4	128	trace	11920	11920	52825960.33	628736	628736	4	0	0	934548.5502	380	9378	602279.198
real	128	cost_model	47936	47936	298164759.4	3727083.893	3727083.893	32	0	0	4588802.682	4640	0	10341961.03
