model	seq	past	candidate	status	makespan_ns	busiest_worker_ns	busiest_worker	total_block_ns	solo_work_ns	critical_path_ns	cross_worker_edges	same_worker_edges	max_queue	max_queue_ns	spine_length_ns	critical_path_hops	critical_path_same_worker_edges	critical_path_queue_edges	critical_path_len	eval_us
gqa2	4	3	legacy_grid_stride	ok	310616.5189	290581.6547	0	2753852.676	1336932.147	179816.8517	1108	184	30	290581.6547	0	17	0	8	25	44.268
gqa2	4	3	rotate	ok	203268.5523	30235.10336	96	16189847.52	1336932.147	179816.8517	1292	0	1	30235.10336	0	19	0	0	19	51.988
gqa2	4	3	balanced	ok	380411.9525	206712.3171	6	3551993.3	1336932.147	179816.8517	850	442	30	206712.3171	0	17	0	39	56	42.231
gqa2	4	3	eft	ok	200796.1746	179816.8517	0	3455990.092	1336932.147	179816.8517	1192	100	20	179816.8517	0	17	2	0	19	42.345
gqa2	4	3	band	ok	310616.5189	290581.6547	0	2753852.676	1336932.147	179816.8517	1108	184	30	290581.6547	0	17	0	8	25	39.15
gqa2	4	3	wavefront	ok	203238.6077	179816.8517	0	3514629.967	1336932.147	179816.8517	1172	120	20	179816.8517	0	19	0	0	19	50.796
gqa2	4	3	chain	ok	200796.1655	179348.9644	0	5941091.155	1336932.147	179816.8517	1176	116	18	179348.9644	179348.9644	17	2	0	19	54.513
mha4	4	3	legacy_grid_stride	ok	622450.1908	581163.3094	0	6090837.809	2989285.765	359633.7035	3604	504	60	581163.3094	0	35	0	16	51	87.811
mha4	4	3	rotate	ok	407769.1597	60470.20672	124	71029582.56	2989285.765	359633.7035	4108	0	2	60470.20672	0	39	0	0	39	106.711
mha4	4	3	balanced	ok	748978.6789	317164.7781	4	5067313.26	2989285.765	359633.7035	2996	1112	60	317164.7781	0	31	0	94	125	77.462
mha4	4	3	eft	ok	402831.8778	359633.7035	0	13478970.41	2989285.765	359633.7035	3828	280	40	359633.7035	0	35	4	0	39	86.874
mha4	4	3	band	ok	622450.1908	581163.3094	0	6090837.809	2989285.765	359633.7035	3604	504	60	581163.3094	0	35	0	16	51	83.652
mha4	4	3	wavefront	ok	407731.4755	359633.7035	0	13674991.19	2989285.765	359633.7035	3828	280	40	359633.7035	0	39	0	0	39	102.119
mha4	4	3	chain	ok	402831.5847	359633.7035	0	26622166.91	2989285.765	359633.7035	3818	290	40	359633.7035	359633.7035	35	4	0	39	81.898
real	4	3	legacy_grid_stride	ok	5480958.637	5439915.221	0	409899107.4	237206288.6	3718801.46	76196	1596	60	5439915.221	0	35	0	16	51	442.481
real	4	3	rotate	ok	4340901.349	1634720.813	116	648600608.1	237206288.6	4292856.33	77792	0	11	1204185.169	0	39	0	0	39	566.679
real	4	3	balanced	ok	47760205.66	8027422.598	40	6032137190	237206288.6	3718801.46	71224	6568	60	8027422.598	0	31	0	448	479	463.003
real	4	3	eft	ok	4335995.344	4292837.482	0	579443225.6	237206288.6	4006335.316	76988	804	42	4005308.796	0	35	4	2	41	536.536
real	4	3	band	ok	5480958.637	5439915.221	0	409899107.4	237206288.6	3718801.46	76196	1596	60	5439915.221	0	35	0	16	51	432.672
real	4	3	wavefront	ok	4340902.216	4292856.312	0	525483765	237206288.6	4292856.312	76580	1212	40	3718801.46	0	39	0	0	39	570.23
real	4	3	chain	ok	4481786.369	4295374.81	0	644732696.8	237206288.6	4295374.81	76832	960	40	3718801.46	3718801.46	35	4	1	40	590.003
gqa2	128	3	legacy_grid_stride	ok	323526.6298	303984.4718	1	60517226.18	4322127.644	185342.1498	545140	3736	34	295639.0654	0	17	0	10	27	2116.08
gqa2	128	3	rotate	ok	215126.6343	50515.0243	60	38368594.76	4322127.644	185342.1498	545252	3624	18	42169.61788	0	17	0	10	27	2068.66
gqa2	128	3	balanced	ok	325911.3371	87708.13387	72	44435938.28	4322127.644	185196.1548	543602	5274	34	87233.83628	0	19	0	136	155	1994.498
gqa2	128	3	eft	ok	215120.4624	194156.0443	1	35109637.34	4322127.644	185342.1498	545660	3216	28	185816.4474	0	17	0	10	27	2148.628
gqa2	128	3	band	ok	323526.6298	303984.4718	1	60517226.18	4322127.644	185342.1498	545140	3736	34	295639.0654	0	17	0	10	27	2123.458
