dtype	model	config	gemm_stages	seq_points	price_bit_checks	status
bf16	gqa2	32x32x32s3k1	14	5	140	PASS
bf16	gqa2	32x32x32s3k2	14	5	140	PASS
bf16	gqa2	32x32x32s3k4	14	5	140	PASS
bf16	gqa2	32x32x32s3k8	14	5	140	PASS
bf16	gqa2	32x32x32s3k16	14	5	140	PASS
bf16	gqa2	32x32x32s4k1	14	5	140	PASS
bf16	gqa2	32x32x32s4k2	14	5	140	PASS
bf16	gqa2	32x32x32s4k4	14	5	140	PASS
bf16	gqa2	32x32x32s4k8	14	5	140	PASS
bf16	gqa2	32x32x32s4k16	14	5	140	PASS
bf16	gqa2	32x32x32s5k1	14	5	140	PASS
bf16	gqa2	32x32x32s5k2	14	5	140	PASS
bf16	gqa2	32x32x32s5k4	14	5	140	PASS
bf16	gqa2	32x32x32s5k8	14	5	140	PASS
bf16	gqa2	32x32x32s5k16	14	5	140	PASS
bf16	gqa2	32x64x8s2k1	14	5	140	PASS
bf16	gqa2	32x64x8s2k2	14	5	140	PASS
bf16	gqa2	32x64x8s2k4	14	5	140	PASS
bf16	gqa2	32x64x8s2k8	14	5	140	PASS
bf16	gqa2	32x64x8s2k16	14	5	140	PASS
bf16	gqa2	32x64x8s3k1	14	5	140	PASS
bf16	gqa2	32x64x8s3k2	14	5	140	PASS
bf16	gqa2	32x64x8s3k4	14	5	140	PASS
bf16	gqa2	32x64x8s3k8	14	5	140	PASS
bf16	gqa2	32x64x8s3k16	14	5	140	PASS
bf16	gqa2	32x64x8s4k1	14	5	140	PASS
bf16	gqa2	32x64x8s4k2	14	5	140	PASS
bf16	gqa2	32x64x8s4k4	14	5	140	PASS
bf16	gqa2	32x64x8s4k8	14	5	140	PASS
bf16	gqa2	32x64x8s4k16	14	5	140	PASS
bf16	gqa2	32x64x8s5k1	14	5	140	PASS
bf16	gqa2	32x64x8s5k2	14	5	140	PASS
bf16	gqa2	32x64x8s5k4	14	5	140	PASS
bf16	gqa2	32x64x8s5k8	14	5	140	PASS
bf16	gqa2	32x64x8s5k16	14	5	140	PASS
bf16	gqa2	32x64x16s2k1	14	5	140	PASS
bf16	gqa2	32x64x16s2k2	14	5	140	PASS
bf16	gqa2	32x64x16s2k4	14	5	140	PASS
bf16	gqa2	32x64x16s2k8	14	5	140	PASS
bf16	gqa2	32x64x16s2k16	14	5	140	PASS
bf16	gqa2	32x64x16s3k1	14	5	140	PASS
bf16	gqa2	32x64x16s3k2	14	5	140	PASS
bf16	gqa2	32x64x16s3k4	14	5	140	PASS
bf16	gqa2	32x64x16s3k8	14	5	140	PASS
bf16	gqa2	32x64x16s3k16	14	5	140	PASS
bf16	gqa2	32x64x16s4k1	14	5	140	PASS
bf16	gqa2	32x64x16s4k2	14	5	140	PASS
bf16	gqa2	32x64x16s4k4	14	5	140	PASS
bf16	gqa2	32x64x16s4k8	14	5	140	PASS
bf16	gqa2	32x64x16s4k16	14	5	140	PASS
bf16	gqa2	32x64x16s5k1	14	5	140	PASS
bf16	gqa2	32x64x16s5k2	14	5	140	PASS
bf16	gqa2	32x64x16s5k4	14	5	140	PASS
bf16	gqa2	32x64x16s5k8	14	5	140	PASS
bf16	gqa2	32x64x16s5k16	14	5	140	PASS
bf16	gqa2	32x64x32s2k1	14	5	140	PASS
bf16	gqa2	32x64x32s2k2	14	5	140	PASS
bf16	gqa2	32x64x32s2k4	14	5	140	PASS
bf16	gqa2	32x64x32s2k8	14	5	140	PASS
bf16	gqa2	32x64x32s2k16	14	5	140	PASS
bf16	gqa2	32x64x32s3k1	14	5	140	PASS
bf16	gqa2	32x64x32s3k2	14	5	140	PASS
bf16	gqa2	32x64x32s3k4	14	5	140	PASS
bf16	gqa2	32x64x32s3k8	14	5	140	PASS
bf16	gqa2	32x64x32s3k16	14	5	140	PASS
bf16	gqa2	32x64x32s4k1	14	5	140	PASS
bf16	gqa2	32x64x32s4k2	14	5	140	PASS
bf16	gqa2	32x64x32s4k4	14	5	140	PASS
bf16	gqa2	32x64x32s4k8	14	5	140	PASS
bf16	gqa2	32x64x32s4k16	14	5	140	PASS
bf16	gqa2	32x64x32s5k1	14	5	140	PASS
bf16	gqa2	32x64x32s5k2	14	5	140	PASS
bf16	gqa2	32x64x32s5k4	14	5	140	PASS
bf16	gqa2	32x64x32s5k8	14	5	140	PASS
bf16	gqa2	32x64x32s5k16	14	5	140	PASS
bf16	gqa2	32x128x8s2k1	14	5	140	PASS
bf16	gqa2	32x128x8s2k2	14	5	140	PASS
bf16	gqa2	32x128x8s2k4	14	5	140	PASS
bf16	gqa2	32x128x8s2k8	14	5	140	PASS
bf16	gqa2	32x128x8s2k16	14	5	140	PASS
bf16	gqa2	32x128x8s3k1	14	5	140	PASS
bf16	gqa2	32x128x8s3k2	14	5	140	PASS
bf16	gqa2	32x128x8s3k4	14	5	140	PASS
bf16	gqa2	32x128x8s3k8	14	5	140	PASS
bf16	gqa2	32x128x8s3k16	14	5	140	PASS
bf16	gqa2	32x128x8s4k1	14	5	140	PASS
bf16	gqa2	32x128x8s4k2	14	5	140	PASS
bf16	gqa2	32x128x8s4k4	14	5	140	PASS
bf16	gqa2	32x128x8s4k8	14	5	140	PASS
bf16	gqa2	32x128x8s4k16	14	5	140	PASS
bf16	gqa2	32x128x8s5k1	14	5	140	PASS
bf16	gqa2	32x128x8s5k2	14	5	140	PASS
bf16	gqa2	32x128x8s5k4	14	5	140	PASS
bf16	gqa2	32x128x8s5k8	14	5	140	PASS
bf16	gqa2	32x128x8s5k16	14	5	140	PASS
bf16	gqa2	32x128x16s2k1	14	5	140	PASS
bf16	gqa2	32x128x16s2k2	14	5	140	PASS
bf16	gqa2	32x128x16s2k4	14	5	140	PASS
bf16	gqa2	32x128x16s2k8	14	5	140	PASS
bf16	gqa2	32x128x16s2k16	14	5	140	PASS
bf16	gqa2	32x128x16s3k1	14	5	140	PASS
bf16	gqa2	32x128x16s3k2	14	5	140	PASS
bf16	gqa2	32x128x16s3k4	14	5	140	PASS
bf16	gqa2	32x128x16s3k8	14	5	140	PASS
bf16	gqa2	32x128x16s3k16	14	5	140	PASS
bf16	gqa2	32x128x16s4k1	14	5	140	PASS
bf16	gqa2	32x128x16s4k2	14	5	140	PASS
bf16	gqa2	32x128x16s4k4	14	5	140	PASS
bf16	gqa2	32x128x16s4k8	14	5	140	PASS
bf16	gqa2	32x128x16s4k16	14	5	140	PASS
bf16	gqa2	32x128x16s5k1	14	5	140	PASS
bf16	gqa2	32x128x16s5k2	14	5	140	PASS
bf16	gqa2	32x128x16s5k4	14	5	140	PASS
bf16	gqa2	32x128x16s5k8	14	5	140	PASS
bf16	gqa2	32x128x16s5k16	14	5	140	PASS
bf16	gqa2	32x128x32s2k1	14	5	140	PASS
bf16	gqa2	32x128x32s2k2	14	5	140	PASS
bf16	gqa2	32x128x32s2k4	14	5	140	PASS
bf16	gqa2	32x128x32s2k8	14	5	140	PASS
bf16	gqa2	32x128x32s2k16	14	5	140	PASS
bf16	gqa2	32x128x32s3k1	14	5	140	PASS
bf16	gqa2	32x128x32s3k2	14	5	140	PASS
bf16	gqa2	32x128x32s3k4	14	5	140	PASS
bf16	gqa2	32x128x32s3k8	14	5	140	PASS
bf16	gqa2	32x128x32s3k16	14	5	140	PASS
bf16	gqa2	32x128x32s4k1	14	5	140	PASS
bf16	gqa2	32x128x32s4k2	14	5	140	PASS
bf16	gqa2	32x128x32s4k4	14	5	140	PASS
bf16	gqa2	32x128x32s4k8	14	5	140	PASS
bf16	gqa2	32x128x32s4k16	14	5	140	PASS
bf16	gqa2	32x256x8s2k1	14	5	140	PASS
bf16	gqa2	32x256x8s2k2	14	5	140	PASS
bf16	gqa2	32x256x8s2k4	14	5	140	PASS
bf16	gqa2	32x256x8s2k8	14	5	140	PASS
bf16	gqa2	32x256x8s2k16	14	5	140	PASS
bf16	gqa2	32x256x8s3k1	14	5	140	PASS
bf16	gqa2	32x256x8s3k2	14	5	140	PASS
bf16	gqa2	32x256x8s3k4	14	5	140	PASS
bf16	gqa2	32x256x8s3k8	14	5	140	PASS
bf16	gqa2	32x256x8s3k16	14	5	140	PASS
bf16	gqa2	32x256x8s4k1	14	5	140	PASS
bf16	gqa2	32x256x8s4k2	14	5	140	PASS
bf16	gqa2	32x256x8s4k4	14	5	140	PASS
bf16	gqa2	32x256x8s4k8	14	5	140	PASS
bf16	gqa2	32x256x8s4k16	14	5	140	PASS
bf16	gqa2	32x256x8s5k1	14	5	140	PASS
bf16	gqa2	32x256x8s5k2	14	5	140	PASS
bf16	gqa2	32x256x8s5k4	14	5	140	PASS
bf16	gqa2	32x256x8s5k8	14	5	140	PASS
bf16	gqa2	32x256x8s5k16	14	5	140	PASS
bf16	gqa2	32x256x16s2k1	14	5	140	PASS
bf16	gqa2	32x256x16s2k2	14	5	140	PASS
bf16	gqa2	32x256x16s2k4	14	5	140	PASS
bf16	gqa2	32x256x16s2k8	14	5	140	PASS
bf16	gqa2	32x256x16s2k16	14	5	140	PASS
bf16	gqa2	32x256x16s3k1	14	5	140	PASS
bf16	gqa2	32x256x16s3k2	14	5	140	PASS
bf16	gqa2	32x256x16s3k4	14	5	140	PASS
bf16	gqa2	32x256x16s3k8	14	5	140	PASS
bf16	gqa2	32x256x16s3k16	14	5	140	PASS
bf16	gqa2	32x256x16s4k1	14	5	140	PASS
bf16	gqa2	32x256x16s4k2	14	5	140	PASS
bf16	gqa2	32x256x16s4k4	14	5	140	PASS
bf16	gqa2	32x256x16s4k8	14	5	140	PASS
bf16	gqa2	32x256x16s4k16	14	5	140	PASS
bf16	gqa2	32x256x16s5k1	14	5	140	PASS
bf16	gqa2	32x256x16s5k2	14	5	140	PASS
bf16	gqa2	32x256x16s5k4	14	5	140	PASS
bf16	gqa2	32x256x16s5k8	14	5	140	PASS
bf16	gqa2	32x256x16s5k16	14	5	140	PASS
bf16	gqa2	32x256x32s2k1	14	5	140	PASS
bf16	gqa2	32x256x32s2k2	14	5	140	PASS
bf16	gqa2	32x256x32s2k4	14	5	140	PASS
bf16	gqa2	32x256x32s2k8	14	5	140	PASS
bf16	gqa2	32x256x32s2k16	14	5	140	PASS
bf16	gqa2	64x16x16s2k1	14	5	140	PASS
bf16	gqa2	64x16x16s2k2	14	5	140	PASS
bf16	gqa2	64x16x16s2k4	14	5	140	PASS
bf16	gqa2	64x16x16s2k8	14	5	140	PASS
bf16	gqa2	64x16x16s2k16	14	5	140	PASS
bf16	gqa2	64x16x16s3k1	14	5	140	PASS
bf16	gqa2	64x16x16s3k2	14	5	140	PASS
bf16	gqa2	64x16x16s3k4	14	5	140	PASS
bf16	gqa2	64x16x16s3k8	14	5	140	PASS
bf16	gqa2	64x16x16s3k16	14	5	140	PASS
bf16	gqa2	64x16x16s4k1	14	5	140	PASS
bf16	gqa2	64x16x16s4k2	14	5	140	PASS
bf16	gqa2	64x16x16s4k4	14	5	140	PASS
bf16	gqa2	64x16x16s4k8	14	5	140	PASS
bf16	gqa2	64x16x16s4k16	14	5	140	PASS
bf16	gqa2	64x16x16s5k1	14	5	140	PASS
bf16	gqa2	64x16x16s5k2	14	5	140	PASS
bf16	gqa2	64x16x16s5k4	14	5	140	PASS
bf16	gqa2	64x16x16s5k8	14	5	140	PASS
bf16	gqa2	64x16x16s5k16	14	5	140	PASS
bf16	gqa2	64x16x32s2k1	14	5	140	PASS
bf16	gqa2	64x16x32s2k2	14	5	140	PASS
bf16	gqa2	64x16x32s2k4	14	5	140	PASS
bf16	gqa2	64x16x32s2k8	14	5	140	PASS
bf16	gqa2	64x16x32s2k16	14	5	140	PASS
bf16	gqa2	64x16x32s3k1	14	5	140	PASS
bf16	gqa2	64x16x32s3k2	14	5	140	PASS
bf16	gqa2	64x16x32s3k4	14	5	140	PASS
bf16	gqa2	64x16x32s3k8	14	5	140	PASS
bf16	gqa2	64x16x32s3k16	14	5	140	PASS
bf16	gqa2	64x16x32s4k1	14	5	140	PASS
bf16	gqa2	64x16x32s4k2	14	5	140	PASS
bf16	gqa2	64x16x32s4k4	14	5	140	PASS
bf16	gqa2	64x16x32s4k8	14	5	140	PASS
bf16	gqa2	64x16x32s4k16	14	5	140	PASS
bf16	gqa2	64x16x32s5k1	14	5	140	PASS
bf16	gqa2	64x16x32s5k2	14	5	140	PASS
bf16	gqa2	64x16x32s5k4	14	5	140	PASS
bf16	gqa2	64x16x32s5k8	14	5	140	PASS
bf16	gqa2	64x16x32s5k16	14	5	140	PASS
bf16	gqa2	64x32x8s2k1	14	5	140	PASS
bf16	gqa2	64x32x8s2k2	14	5	140	PASS
bf16	gqa2	64x32x8s2k4	14	5	140	PASS
bf16	gqa2	64x32x8s2k8	14	5	140	PASS
bf16	gqa2	64x32x8s2k16	14	5	140	PASS
bf16	gqa2	64x32x8s3k1	14	5	140	PASS
bf16	gqa2	64x32x8s3k2	14	5	140	PASS
bf16	gqa2	64x32x8s3k4	14	5	140	PASS
bf16	gqa2	64x32x8s3k8	14	5	140	PASS
bf16	gqa2	64x32x8s3k16	14	5	140	PASS
bf16	gqa2	64x32x8s4k1	14	5	140	PASS
bf16	gqa2	64x32x8s4k2	14	5	140	PASS
bf16	gqa2	64x32x8s4k4	14	5	140	PASS
bf16	gqa2	64x32x8s4k8	14	5	140	PASS
bf16	gqa2	64x32x8s4k16	14	5	140	PASS
bf16	gqa2	64x32x8s5k1	14	5	140	PASS
bf16	gqa2	64x32x8s5k2	14	5	140	PASS
bf16	gqa2	64x32x8s5k4	14	5	140	PASS
bf16	gqa2	64x32x8s5k8	14	5	140	PASS
bf16	gqa2	64x32x8s5k16	14	5	140	PASS
bf16	gqa2	64x32x16s2k1	14	5	140	PASS
bf16	gqa2	64x32x16s2k2	14	5	140	PASS
bf16	gqa2	64x32x16s2k4	14	5	140	PASS
bf16	gqa2	64x32x16s2k8	14	5	140	PASS
bf16	gqa2	64x32x16s2k16	14	5	140	PASS
bf16	gqa2	64x32x16s3k1	14	5	140	PASS
bf16	gqa2	64x32x16s3k2	14	5	140	PASS
bf16	gqa2	64x32x16s3k4	14	5	140	PASS
bf16	gqa2	64x32x16s3k8	14	5	140	PASS
bf16	gqa2	64x32x16s3k16	14	5	140	PASS
bf16	gqa2	64x32x16s4k1	14	5	140	PASS
bf16	gqa2	64x32x16s4k2	14	5	140	PASS
bf16	gqa2	64x32x16s4k4	14	5	140	PASS
bf16	gqa2	64x32x16s4k8	14	5	140	PASS
