m	n	k	stages	split	kappa	residency	status	work_lb_ns	cp_lb_ns	priority_ns	estimated_work_ns	estimated_stage_cp_ns	register_seed	key	placement	simulated	makespan_ns	floor_ns	cp_ns	queue_lb_ns	nodes	grid	grouping_model	source
32	16	16	2	1	1	5	ok	8134.407757575757	0.0	278896.000001	87692288.0	278896.0	88	32x16x16s2k1_k1_r5	eft	1	449428.527613	283596	278896	283596	16384	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s128/plans/32x16x16s2k1_k1_r5/eft.cu
32	16	32	2	1	1	5	ok	8134.407757575757	0.0	278896.000001	87692288.0	278896.0	88	32x16x32s2k1_k1_r5	eft	1	449428.527613	283596	278896	283596	16384	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s128/plans/32x16x32s2k1_k1_r5/eft.cu
32	16	16	2	1	2	5	ok	8134.407757575757	0.0	278896.000002	87692288.0	278896.0	88	32x16x16s2k1_k2_r5	eft	1	454967.281032	283596	278896	283596	16384	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/mha4_s128/plans/32x16x16s2k1_k2_r5/eft.cu
