model	tile_m	tile_n	producer	consumer	producer_gemm	consumer_gemm	waits	consumers	volume	interface_ns
gqa2	32	128	l0.s14.add	l1.s15.norm	6	-1	512	128	128	19.230769396298506
gqa2	32	128	l1.s15.norm	l1.s16.proj	-1	7	512	16	512	99.35897521420894
gqa2	32	128	l1.s15.norm	l1.s17.proj	-1	8	256	8	512	49.67948760710447
gqa2	32	128	l1.s15.norm	l1.s18.proj	-1	9	256	8	512	49.67948760710447
gqa2	32	128	l1.s16.proj	l1.s19.rope	7	-1	65536	65536	1	0
gqa2	32	128	l1.s17.proj	l1.s20.rope	8	-1	32768	32768	1	0
gqa2	32	128	l1.s20.rope	l1.s21.append	-1	-1	32768	32768	1	0
gqa2	32	128	l1.s18.proj	l1.s22.append	9	-1	32768	32768	1	0
gqa2	32	128	l1.s19.rope	l1.s23.attn	-1	-1	65536	512	1	25.440705347186565
gqa2	32	128	l1.s21.append	l1.s23.attn	-1	-1	8388608	512	1	3281.8509897870667
gqa2	32	128	l1.s22.append	l1.s23.attn	-1	-1	8388608	512	1	3281.8509897870667
gqa2	32	128	l1.s23.attn	l1.s24.proj	-1	10	2048	16	128	101.76282138874626
gqa2	32	128	l1.s24.proj	l1.s24.add	10	10	16	16	4096	0
gqa2	32	128	l0.s14.add	l1.s24.add	6	10	16	16	4096	0
gqa2	32	128	l1.s24.add	l1.s25.norm	10	-1	512	128	128	19.230769396298506
gqa2	32	128	l1.s25.norm	l1.s26.proj	-1	11	1024	32	512	198.71795042841788
gqa2	32	128	l1.s25.norm	l1.s27.proj	-1	12	1024	32	512	198.71795042841788
gqa2	32	128	l1.s26.proj	l1.s28.act	11	-1	131072	131072	1	0
gqa2	32	128	l1.s27.proj	l1.s28.act	12	-1	131072	131072	1	0
gqa2	32	128	l1.s28.act	l1.s29.proj	-1	13	524288	16	1	205.12194687777119
gqa2	32	128	l1.s29.proj	l1.s29.add	13	13	16	16	4096	0
gqa2	32	128	l1.s24.add	l1.s29.add	10	13	16	16	4096	0
gqa2	128	32	l0.s00.norm	l0.s01.proj	-1	0	2048	16	512	407.05128555498504
gqa2	128	32	l0.s00.norm	l0.s02.proj	-1	1	1024	8	512	203.52564277749252
gqa2	128	32	l0.s00.norm	l0.s03.proj	-1	2	1024	8	512	203.52564277749252
gqa2	128	32	l0.s01.proj	l0.s04.rope	0	-1	65536	65536	1	0
gqa2	128	32	l0.s02.proj	l0.s05.rope	1	-1	32768	32768	1	0
gqa2	128	32	l0.s05.rope	l0.s06.append	-1	-1	32768	32768	1	0
gqa2	128	32	l0.s03.proj	l0.s07.append	2	-1	32768	32768	1	0
gqa2	128	32	l0.s04.rope	l0.s08.attn	-1	-1	65536	512	1	25.440705347186565
gqa2	128	32	l0.s06.append	l0.s08.attn	-1	-1	8388608	512	1	3281.8509897870667
gqa2	128	32	l0.s07.append	l0.s08.attn	-1	-1	8388608	512	1	3281.8509897870667
gqa2	128	32	l0.s08.attn	l0.s09.proj	-1	3	8192	16	128	409.45513172952235
gqa2	128	32	l0.s09.proj	l0.s09.add	3	3	16	16	4096	0
gqa2	128	32	l0.s09.add	l0.s10.norm	3	-1	2048	128	32	24.03846174537313
gqa2	128	32	l0.s10.norm	l0.s11.proj	-1	4	4096	32	512	814.10257110997009
gqa2	128	32	l0.s10.norm	l0.s12.proj	-1	5	4096	32	512	814.10257110997009
gqa2	128	32	l0.s11.proj	l0.s13.act	4	-1	131072	131072	1	0
gqa2	128	32	l0.s12.proj	l0.s13.act	5	-1	131072	131072	1	0
gqa2	128	32	l0.s13.act	l0.s14.proj	-1	6	2097152	16	1	820.50656755932334
gqa2	128	32	l0.s14.proj	l0.s14.add	6	6	16	16	4096	0
gqa2	128	32	l0.s09.add	l0.s14.add	3	6	16	16	4096	0
gqa2	128	32	l0.s14.add	l1.s15.norm	6	-1	2048	128	32	24.03846174537313
gqa2	128	32	l1.s15.norm	l1.s16.proj	-1	7	2048	16	512	407.05128555498504
gqa2	128	32	l1.s15.norm	l1.s17.proj	-1	8	1024	8	512	203.52564277749252
gqa2	128	32	l1.s15.norm	l1.s18.proj	-1	9	1024	8	512	203.52564277749252
gqa2	128	32	l1.s16.proj	l1.s19.rope	7	-1	65536	65536	1	0
gqa2	128	32	l1.s17.proj	l1.s20.rope	8	-1	32768	32768	1	0
gqa2	128	32	l1.s20.rope	l1.s21.append	-1	-1	32768	32768	1	0
gqa2	128	32	l1.s18.proj	l1.s22.append	9	-1	32768	32768	1	0
gqa2	128	32	l1.s19.rope	l1.s23.attn	-1	-1	65536	512	1	25.440705347186565
gqa2	128	32	l1.s21.append	l1.s23.attn	-1	-1	8388608	512	1	3281.8509897870667
gqa2	128	32	l1.s22.append	l1.s23.attn	-1	-1	8388608	512	1	3281.8509897870667
gqa2	128	32	l1.s23.attn	l1.s24.proj	-1	10	8192	16	128	409.45513172952235
gqa2	128	32	l1.s24.proj	l1.s24.add	10	10	16	16	4096	0
gqa2	128	32	l0.s14.add	l1.s24.add	6	10	16	16	4096	0
gqa2	128	32	l1.s24.add	l1.s25.norm	10	-1	2048	128	32	24.03846174537313
gqa2	128	32	l1.s25.norm	l1.s26.proj	-1	11	4096	32	512	814.10257110997009
gqa2	128	32	l1.s25.norm	l1.s27.proj	-1	12	4096	32	512	814.10257110997009
gqa2	128	32	l1.s26.proj	l1.s28.act	11	-1	131072	131072	1	0
gqa2	128	32	l1.s27.proj	l1.s28.act	12	-1	131072	131072	1	0
gqa2	128	32	l1.s28.act	l1.s29.proj	-1	13	2097152	16	1	820.50656755932334
gqa2	128	32	l1.s29.proj	l1.s29.add	13	13	16	16	4096	0
gqa2	128	32	l1.s24.add	l1.s29.add	10	13	16	16	4096	0
gqa2	128	128	l0.s00.norm	l0.s01.proj	-1	0	512	4	512	101.76282138874626
gqa2	128	128	l0.s00.norm	l0.s02.proj	-1	1	256	2	512	50.88141069437313
gqa2	128	128	l0.s00.norm	l0.s03.proj	-1	2	256	2	512	50.88141069437313
gqa2	128	128	l0.s01.proj	l0.s04.rope	0	-1	65536	65536	1	0
gqa2	128	128	l0.s02.proj	l0.s05.rope	1	-1	32768	32768	1	0
gqa2	128	128	l0.s05.rope	l0.s06.append	-1	-1	32768	32768	1	0
gqa2	128	128	l0.s03.proj	l0.s07.append	2	-1	32768	32768	1	0
gqa2	128	128	l0.s04.rope	l0.s08.attn	-1	-1	65536	512	1	25.440705347186565
gqa2	128	128	l0.s06.append	l0.s08.attn	-1	-1	8388608	512	1	3281.8509897870667
gqa2	128	128	l0.s07.append	l0.s08.attn	-1	-1	8388608	512	1	3281.8509897870667
gqa2	128	128	l0.s08.attn	l0.s09.proj	-1	3	2048	4	128	102.36378293238059
gqa2	128	128	l0.s09.proj	l0.s09.add	3	3	4	4	16384	0
gqa2	128	128	l0.s09.add	l0.s10.norm	3	-1	512	128	128	19.230769396298506
gqa2	128	128	l0.s10.norm	l0.s11.proj	-1	4	1024	8	512	203.52564277749252
gqa2	128	128	l0.s10.norm	l0.s12.proj	-1	5	1024	8	512	203.52564277749252
gqa2	128	128	l0.s11.proj	l0.s13.act	4	-1	131072	131072	1	0
gqa2	128	128	l0.s12.proj	l0.s13.act	5	-1	131072	131072	1	0
gqa2	128	128	l0.s13.act	l0.s14.proj	-1	6	524288	4	1	205.12664188983084
gqa2	128	128	l0.s14.proj	l0.s14.add	6	6	4	4	16384	0
gqa2	128	128	l0.s09.add	l0.s14.add	3	6	4	4	16384	0
gqa2	128	128	l0.s14.add	l1.s15.norm	6	-1	512	128	128	19.230769396298506
gqa2	128	128	l1.s15.norm	l1.s16.proj	-1	7	512	4	512	101.76282138874626
gqa2	128	128	l1.s15.norm	l1.s17.proj	-1	8	256	2	512	50.88141069437313
gqa2	128	128	l1.s15.norm	l1.s18.proj	-1	9	256	2	512	50.88141069437313
gqa2	128	128	l1.s16.proj	l1.s19.rope	7	-1	65536	65536	1	0
gqa2	128	128	l1.s17.proj	l1.s20.rope	8	-1	32768	32768	1	0
gqa2	128	128	l1.s20.rope	l1.s21.append	-1	-1	32768	32768	1	0
gqa2	128	128	l1.s18.proj	l1.s22.append	9	-1	32768	32768	1	0
gqa2	128	128	l1.s19.rope	l1.s23.attn	-1	-1	65536	512	1	25.440705347186565
gqa2	128	128	l1.s21.append	l1.s23.attn	-1	-1	8388608	512	1	3281.8509897870667
gqa2	128	128	l1.s22.append	l1.s23.attn	-1	-1	8388608	512	1	3281.8509897870667
gqa2	128	128	l1.s23.attn	l1.s24.proj	-1	10	2048	4	128	102.36378293238059
gqa2	128	128	l1.s24.proj	l1.s24.add	10	10	4	4	16384	0
gqa2	128	128	l0.s14.add	l1.s24.add	6	10	4	4	16384	0
gqa2	128	128	l1.s24.add	l1.s25.norm	10	-1	512	128	128	19.230769396298506
gqa2	128	128	l1.s25.norm	l1.s26.proj	-1	11	1024	8	512	203.52564277749252
gqa2	128	128	l1.s25.norm	l1.s27.proj	-1	12	1024	8	512	203.52564277749252
gqa2	128	128	l1.s26.proj	l1.s28.act	11	-1	131072	131072	1	0
gqa2	128	128	l1.s27.proj	l1.s28.act	12	-1	131072	131072	1	0
gqa2	128	128	l1.s28.act	l1.s29.proj	-1	13	524288	4	1	205.12664188983084
gqa2	128	128	l1.s29.proj	l1.s29.add	13	13	4	4	16384	0
gqa2	128	128	l1.s24.add	l1.s29.add	10	13	4	4	16384	0
