producer	consumer	structure	predecessor	successor	all_producer
0	1	M:N	General	General	1
1	2	N:1	General	Unique	0
0	3	M:N	General	General	1
3	4	N:1	General	Unique	0
0	5	M:N	General	General	1
5	6	N:1	General	Unique	0
2	7	M:N	General	General	1
4	8	M:N	General	General	1
8	9	1:1	Unique	Unique	0
6	10	M:N	General	General	1
7	11	1:1	Unique	Unique	0
9	11	M:N	General	General	1
10	11	M:N	General	General	1
11	12	M:N	General	General	1
12	13	N:1	General	Unique	0
13	14	M:N	General	General	1
14	15	M:N	General	General	1
15	16	N:1	General	Unique	0
14	17	M:N	General	General	1
17	18	N:1	General	Unique	0
16	19	M:N	General	General	1
18	19	M:N	General	General	1
13	20	1:1	Unique	Unique	0
19	20	M:N	General	General	1
13	21	1:1	Unique	Unique	0
20	21	N:1	General	Unique	0
21	22	M:N	General	General	1
22	23	M:N	General	General	1
23	24	N:1	General	Unique	0
22	25	M:N	General	General	1
25	26	N:1	General	Unique	0
22	27	M:N	General	General	1
27	28	N:1	General	Unique	0
24	29	M:N	General	General	1
26	30	M:N	General	General	1
30	31	1:1	Unique	Unique	0
28	32	M:N	General	General	1
29	33	1:1	Unique	Unique	0
31	33	M:N	General	General	1
32	33	M:N	General	General	1
21	34	1:1	Unique	Unique	0
33	34	M:N	General	General	1
21	35	1:1	Unique	Unique	0
34	35	N:1	General	Unique	0
35	36	M:N	General	General	1
36	37	M:N	General	General	1
37	38	N:1	General	Unique	0
36	39	M:N	General	General	1
39	40	N:1	General	Unique	0
38	41	M:N	General	General	1
40	41	M:N	General	General	1
35	42	1:1	Unique	Unique	0
41	42	M:N	General	General	1
35	43	1:1	Unique	Unique	0
42	43	N:1	General	Unique	0
43	44	M:N	General	General	1
44	45	M:N	General	General	1
45	46	N:1	General	Unique	0
44	47	M:N	General	General	1
47	48	N:1	General	Unique	0
44	49	M:N	General	General	1
49	50	N:1	General	Unique	0
46	51	M:N	General	General	1
48	52	M:N	General	General	1
52	53	1:1	Unique	Unique	0
50	54	M:N	General	General	1
51	55	1:1	Unique	Unique	0
53	55	M:N	General	General	1
54	55	M:N	General	General	1
43	56	1:1	Unique	Unique	0
55	56	M:N	General	General	1
43	57	1:1	Unique	Unique	0
56	57	N:1	General	Unique	0
57	58	M:N	General	General	1
58	59	M:N	General	General	1
59	60	N:1	General	Unique	0
58	61	M:N	General	General	1
61	62	N:1	General	Unique	0
60	63	M:N	General	General	1
62	63	M:N	General	General	1
57	64	1:1	Unique	Unique	0
63	64	M:N	General	General	1
57	65	1:1	Unique	Unique	0
64	65	N:1	General	Unique	0
65	66	M:N	General	General	1
66	67	M:N	General	General	1
67	68	N:1	General	Unique	0
66	69	M:N	General	General	1
69	70	N:1	General	Unique	0
66	71	M:N	General	General	1
71	72	N:1	General	Unique	0
68	73	M:N	General	General	1
70	74	M:N	General	General	1
74	75	1:1	Unique	Unique	0
72	76	M:N	General	General	1
73	77	1:1	Unique	Unique	0
75	77	M:N	General	General	1
76	77	M:N	General	General	1
65	78	1:1	Unique	Unique	0
77	78	M:N	General	General	1
65	79	1:1	Unique	Unique	0
78	79	N:1	General	Unique	0
79	80	M:N	General	General	1
80	81	M:N	General	General	1
81	82	N:1	General	Unique	0
80	83	M:N	General	General	1
83	84	N:1	General	Unique	0
82	85	M:N	General	General	1
84	85	M:N	General	General	1
79	86	1:1	Unique	Unique	0
85	86	M:N	General	General	1
79	87	1:1	Unique	Unique	0
86	87	N:1	General	Unique	0
