m	n	k	stages	split	kappa	residency	status	work_lb_ns	cp_lb_ns	priority_ns	estimated_work_ns	estimated_stage_cp_ns	register_seed	key	placement	simulated	makespan_ns	floor_ns	cp_ns	queue_lb_ns	nodes	grid	grouping_model	source
32	16	16	2	1	1	2	ok	114.39010909090909	0.0	65592.000001	2419456.0	65592.0	88	32x16x16s2k1_k1_r2	rotate	1	142996.259878	65592	65592	16704	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x16s2k1_k1_r2/rotate.cu
32	16	16	2	1	1	2	ok	114.39010909090909	0.0	65592.000001	2419456.0	65592.0	88	32x16x16s2k1_k1_r2	wavefront	1	142996.259878	65592	65592	65336	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x16s2k1_k1_r2/wavefront.cu
32	16	16	2	1	1	5	ok	114.39010909090909	0.0	65592.000001	2419456.0	65592.0	88	32x16x16s2k1_k1_r5	rotate	1	142996.259878	65592	65592	10736	648	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x16s2k1_k1_r5/rotate.cu
32	16	16	2	1	1	5	ok	114.39010909090909	0.0	65592.000001	2419456.0	65592.0	88	32x16x16s2k1_k1_r5	wavefront	1	142996.259878	65592	65592	65336	648	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x16s2k1_k1_r5/wavefront.cu
32	16	32	2	1	1	1	ok	114.39010909090909	0.0	65592.000001	2419456.0	65592.0	88	32x16x32s2k1_k1_r1	rotate	1	142996.259878	65592	65592	27440	648	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k1_r1/rotate.cu
32	16	32	2	1	1	1	ok	114.39010909090909	0.0	65592.000001	2419456.0	65592.0	88	32x16x32s2k1_k1_r1	wavefront	1	142996.259878	65592	65592	65336	648	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k1_r1/wavefront.cu
32	16	32	2	1	1	2	ok	114.39010909090909	0.0	65592.000001	2419456.0	65592.0	88	32x16x32s2k1_k1_r2	rotate	1	142996.259878	65592	65592	16704	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k1_r2/rotate.cu
32	16	32	2	1	1	2	ok	114.39010909090909	0.0	65592.000001	2419456.0	65592.0	88	32x16x32s2k1_k1_r2	wavefront	1	142996.259878	65592	65592	65336	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k1_r2/wavefront.cu
32	16	32	2	1	1	5	ok	114.39010909090909	0.0	65592.000001	2419456.0	65592.0	88	32x16x32s2k1_k1_r5	rotate	1	142996.259878	65592	65592	10736	648	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k1_r5/rotate.cu
32	16	32	2	1	1	5	ok	114.39010909090909	0.0	65592.000001	2419456.0	65592.0	88	32x16x32s2k1_k1_r5	wavefront	1	142996.259878	65592	65592	65336	648	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k1_r5/wavefront.cu
32	16	64	2	1	1	1	ok	114.39010909090909	0.0	65592.000001	2419456.0	65592.0	0	32x16x64s2k1_k1_r1	rotate	1	142996.259878	65592	65592	27440	648	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x64s2k1_k1_r1/rotate.cu
32	16	64	2	1	1	1	ok	114.39010909090909	0.0	65592.000001	2419456.0	65592.0	0	32x16x64s2k1_k1_r1	wavefront	1	142996.259878	65592	65592	65336	648	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x64s2k1_k1_r1/wavefront.cu
32	16	64	2	1	1	2	ok	114.39010909090909	0.0	65592.000001	2419456.0	65592.0	0	32x16x64s2k1_k1_r2	rotate	1	142996.259878	65592	65592	16704	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x64s2k1_k1_r2/rotate.cu
32	16	64	2	1	1	2	ok	114.39010909090909	0.0	65592.000001	2419456.0	65592.0	0	32x16x64s2k1_k1_r2	wavefront	1	142996.259878	65592	65592	65336	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x64s2k1_k1_r2/wavefront.cu
32	16	16	2	1	2	1	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	88	32x16x16s2k1_k2_r1	eft	1	142996.259878	65592	65592	65592	648	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x16s2k1_k2_r1/eft.cu
32	16	16	2	1	2	1	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	88	32x16x16s2k1_k2_r1	rotate	1	142996.259878	65592	65592	27440	648	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x16s2k1_k2_r1/rotate.cu
32	16	16	2	1	2	1	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	88	32x16x16s2k1_k2_r1	wavefront	1	142996.259878	65592	65592	65336	648	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x16s2k1_k2_r1/wavefront.cu
32	16	16	2	1	2	2	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	88	32x16x16s2k1_k2_r2	eft	1	142996.259878	65592	65592	65592	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x16s2k1_k2_r2/eft.cu
32	16	16	2	1	2	2	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	88	32x16x16s2k1_k2_r2	rotate	1	142996.259878	65592	65592	16704	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x16s2k1_k2_r2/rotate.cu
32	16	16	2	1	2	2	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	88	32x16x16s2k1_k2_r2	wavefront	1	142996.259878	65592	65592	65336	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x16s2k1_k2_r2/wavefront.cu
32	16	16	2	1	2	5	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	88	32x16x16s2k1_k2_r5	eft	1	142996.259878	65592	65592	65592	648	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x16s2k1_k2_r5/eft.cu
32	16	16	2	1	2	5	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	88	32x16x16s2k1_k2_r5	chain	1	142996.259878	65592	65592	7288	648	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x16s2k1_k2_r5/chain.cu
32	16	16	2	1	2	5	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	88	32x16x16s2k1_k2_r5	rotate	1	142996.259878	65592	65592	10736	648	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x16s2k1_k2_r5/rotate.cu
32	16	16	2	1	2	5	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	88	32x16x16s2k1_k2_r5	wavefront	1	142996.259878	65592	65592	65336	648	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x16s2k1_k2_r5/wavefront.cu
32	16	32	2	1	2	1	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	88	32x16x32s2k1_k2_r1	eft	1	142996.259878	65592	65592	65592	648	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k2_r1/eft.cu
32	16	32	2	1	2	1	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	88	32x16x32s2k1_k2_r1	rotate	1	142996.259878	65592	65592	27440	648	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k2_r1/rotate.cu
32	16	32	2	1	2	1	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	88	32x16x32s2k1_k2_r1	wavefront	1	142996.259878	65592	65592	65336	648	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k2_r1/wavefront.cu
32	16	32	2	1	2	2	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	88	32x16x32s2k1_k2_r2	eft	1	142996.259878	65592	65592	65592	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k2_r2/eft.cu
32	16	32	2	1	2	2	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	88	32x16x32s2k1_k2_r2	rotate	1	142996.259878	65592	65592	16704	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k2_r2/rotate.cu
32	16	32	2	1	2	2	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	88	32x16x32s2k1_k2_r2	wavefront	1	142996.259878	65592	65592	65336	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k2_r2/wavefront.cu
32	16	32	2	1	2	5	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	88	32x16x32s2k1_k2_r5	eft	1	142996.259878	65592	65592	65592	648	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k2_r5/eft.cu
32	16	32	2	1	2	5	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	88	32x16x32s2k1_k2_r5	chain	1	142996.259878	65592	65592	7288	648	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k2_r5/chain.cu
32	16	32	2	1	2	5	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	88	32x16x32s2k1_k2_r5	rotate	1	142996.259878	65592	65592	10736	648	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k2_r5/rotate.cu
32	16	32	2	1	2	5	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	88	32x16x32s2k1_k2_r5	wavefront	1	142996.259878	65592	65592	65336	648	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k2_r5/wavefront.cu
32	16	64	2	1	2	1	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	0	32x16x64s2k1_k2_r1	eft	1	142996.259878	65592	65592	65592	648	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x64s2k1_k2_r1/eft.cu
32	16	64	2	1	2	1	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	0	32x16x64s2k1_k2_r1	rotate	1	142996.259878	65592	65592	27440	648	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x64s2k1_k2_r1/rotate.cu
32	16	64	2	1	2	1	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	0	32x16x64s2k1_k2_r1	wavefront	1	142996.259878	65592	65592	65336	648	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x64s2k1_k2_r1/wavefront.cu
32	16	64	2	1	2	2	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	0	32x16x64s2k1_k2_r2	eft	1	142996.259878	65592	65592	65592	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x64s2k1_k2_r2/eft.cu
32	16	64	2	1	2	2	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	0	32x16x64s2k1_k2_r2	rotate	1	142996.259878	65592	65592	16704	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x64s2k1_k2_r2/rotate.cu
32	16	64	2	1	2	2	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	0	32x16x64s2k1_k2_r2	wavefront	1	142996.259878	65592	65592	65336	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x64s2k1_k2_r2/wavefront.cu
32	16	16	2	1	4	1	ok	114.39010909090909	0.0	65592.000004	2419456.0	65592.0	88	32x16x16s2k1_k4_r1	eft	1	142996.259878	65592	65592	65592	648	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x16s2k1_k4_r1/eft.cu
32	16	16	2	1	4	1	ok	114.39010909090909	0.0	65592.000004	2419456.0	65592.0	88	32x16x16s2k1_k4_r1	rotate	1	142996.259878	65592	65592	27440	648	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x16s2k1_k4_r1/rotate.cu
32	16	16	2	1	4	1	ok	114.39010909090909	0.0	65592.000004	2419456.0	65592.0	88	32x16x16s2k1_k4_r1	wavefront	1	142996.259878	65592	65592	65336	648	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x16s2k1_k4_r1/wavefront.cu
32	16	16	2	1	4	2	ok	114.39010909090909	0.0	65592.000004	2419456.0	65592.0	88	32x16x16s2k1_k4_r2	eft	1	142996.259878	65592	65592	65592	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x16s2k1_k4_r2/eft.cu
32	16	16	2	1	4	2	ok	114.39010909090909	0.0	65592.000004	2419456.0	65592.0	88	32x16x16s2k1_k4_r2	rotate	1	142996.259878	65592	65592	16704	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x16s2k1_k4_r2/rotate.cu
32	16	16	2	1	4	2	ok	114.39010909090909	0.0	65592.000004	2419456.0	65592.0	88	32x16x16s2k1_k4_r2	wavefront	1	142996.259878	65592	65592	65336	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x16s2k1_k4_r2/wavefront.cu
32	16	16	2	1	4	5	ok	114.39010909090909	0.0	65592.000004	2419456.0	65592.0	88	32x16x16s2k1_k4_r5	eft	1	142996.259878	65592	65592	65592	648	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x16s2k1_k4_r5/eft.cu
32	16	16	2	1	4	5	ok	114.39010909090909	0.0	65592.000004	2419456.0	65592.0	88	32x16x16s2k1_k4_r5	chain	1	142996.259878	65592	65592	7288	648	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x16s2k1_k4_r5/chain.cu
32	16	16	2	1	4	5	ok	114.39010909090909	0.0	65592.000004	2419456.0	65592.0	88	32x16x16s2k1_k4_r5	rotate	1	142996.259878	65592	65592	10736	648	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x16s2k1_k4_r5/rotate.cu
32	16	16	2	1	4	5	ok	114.39010909090909	0.0	65592.000004	2419456.0	65592.0	88	32x16x16s2k1_k4_r5	wavefront	1	142996.259878	65592	65592	65336	648	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x16s2k1_k4_r5/wavefront.cu
32	16	32	2	1	4	1	ok	114.39010909090909	0.0	65592.000004	2419456.0	65592.0	88	32x16x32s2k1_k4_r1	eft	1	142996.259878	65592	65592	65592	648	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k4_r1/eft.cu
32	16	32	2	1	4	1	ok	114.39010909090909	0.0	65592.000004	2419456.0	65592.0	88	32x16x32s2k1_k4_r1	rotate	1	142996.259878	65592	65592	27440	648	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k4_r1/rotate.cu
32	16	32	2	1	4	1	ok	114.39010909090909	0.0	65592.000004	2419456.0	65592.0	88	32x16x32s2k1_k4_r1	wavefront	1	142996.259878	65592	65592	65336	648	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k4_r1/wavefront.cu
32	16	32	2	1	4	2	ok	114.39010909090909	0.0	65592.000004	2419456.0	65592.0	88	32x16x32s2k1_k4_r2	eft	1	142996.259878	65592	65592	65592	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k4_r2/eft.cu
32	16	32	2	1	4	2	ok	114.39010909090909	0.0	65592.000004	2419456.0	65592.0	88	32x16x32s2k1_k4_r2	rotate	1	142996.259878	65592	65592	16704	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k4_r2/rotate.cu
32	16	32	2	1	4	2	ok	114.39010909090909	0.0	65592.000004	2419456.0	65592.0	88	32x16x32s2k1_k4_r2	wavefront	1	142996.259878	65592	65592	65336	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k4_r2/wavefront.cu
32	16	32	2	1	4	5	ok	114.39010909090909	0.0	65592.000004	2419456.0	65592.0	88	32x16x32s2k1_k4_r5	eft	1	142996.259878	65592	65592	65592	648	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k4_r5/eft.cu
32	16	32	2	1	4	5	ok	114.39010909090909	0.0	65592.000004	2419456.0	65592.0	88	32x16x32s2k1_k4_r5	chain	1	142996.259878	65592	65592	7288	648	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k4_r5/chain.cu
32	16	32	2	1	4	5	ok	114.39010909090909	0.0	65592.000004	2419456.0	65592.0	88	32x16x32s2k1_k4_r5	rotate	1	142996.259878	65592	65592	10736	648	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k4_r5/rotate.cu
32	16	32	2	1	4	5	ok	114.39010909090909	0.0	65592.000004	2419456.0	65592.0	88	32x16x32s2k1_k4_r5	wavefront	1	142996.259878	65592	65592	65336	648	640	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k4_r5/wavefront.cu
32	16	64	2	1	4	1	ok	114.39010909090909	0.0	65592.000004	2419456.0	65592.0	0	32x16x64s2k1_k4_r1	eft	1	142996.259878	65592	65592	65592	648	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x64s2k1_k4_r1/eft.cu
32	16	64	2	1	4	1	ok	114.39010909090909	0.0	65592.000004	2419456.0	65592.0	0	32x16x64s2k1_k4_r1	rotate	1	142996.259878	65592	65592	27440	648	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x64s2k1_k4_r1/rotate.cu
32	16	64	2	1	4	1	ok	114.39010909090909	0.0	65592.000004	2419456.0	65592.0	0	32x16x64s2k1_k4_r1	wavefront	1	142996.259878	65592	65592	65336	648	128	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x64s2k1_k4_r1/wavefront.cu
32	16	64	2	1	4	2	ok	114.39010909090909	0.0	65592.000004	2419456.0	65592.0	0	32x16x64s2k1_k4_r2	eft	1	142996.259878	65592	65592	65592	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x64s2k1_k4_r2/eft.cu
32	16	64	2	1	4	2	ok	114.39010909090909	0.0	65592.000004	2419456.0	65592.0	0	32x16x64s2k1_k4_r2	rotate	1	142996.259878	65592	65592	16704	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x64s2k1_k4_r2/rotate.cu
32	16	64	2	1	4	2	ok	114.39010909090909	0.0	65592.000004	2419456.0	65592.0	0	32x16x64s2k1_k4_r2	wavefront	1	142996.259878	65592	65592	65336	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x64s2k1_k4_r2/wavefront.cu
32	16	16	2	1	1	2	ok	114.39010909090909	0.0	65592.000001	2419456.0	65592.0	88	32x16x16s2k1_k1_r2	chain	1	147478.388281	65592	65592	19776	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x16s2k1_k1_r2/chain.cu
32	16	32	2	1	1	2	ok	114.39010909090909	0.0	65592.000001	2419456.0	65592.0	88	32x16x32s2k1_k1_r2	chain	1	147478.388281	65592	65592	19776	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k1_r2/chain.cu
32	16	64	2	1	1	2	ok	114.39010909090909	0.0	65592.000001	2419456.0	65592.0	0	32x16x64s2k1_k1_r2	chain	1	147478.388281	65592	65592	19776	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x64s2k1_k1_r2/chain.cu
32	16	16	2	1	2	2	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	88	32x16x16s2k1_k2_r2	chain	1	147478.388281	65592	65592	19776	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x16s2k1_k2_r2/chain.cu
32	16	32	2	1	2	2	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	88	32x16x32s2k1_k2_r2	chain	1	147478.388281	65592	65592	19776	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x32s2k1_k2_r2/chain.cu
32	16	64	2	1	2	2	ok	114.39010909090909	0.0	65592.000002	2419456.0	65592.0	0	32x16x64s2k1_k2_r2	chain	1	147478.388281	65592	65592	19776	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x64s2k1_k2_r2/chain.cu
32	16	16	2	1	4	2	ok	114.39010909090909	0.0	65592.000004	2419456.0	65592.0	88	32x16x16s2k1_k4_r2	chain	1	147478.388281	65592	65592	19776	648	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/gqa2_s4/plans/32x16x16s2k1_k4_r2/chain.cu
