slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789717454703770624	1789717454703770624	1789717454703770624	1789717454703772672	1789717454703774720	0	0	0	0	104389409881960	104389409887798
1	0	3	0	0	1789717454703774720	1789717454703776768	1789717454703776768	1789717454703780864	1789717454703782912	0	16	2	1	104389409897053	104389409907712
2	0	1	256	0	1789717454703782912	1789717454703783936	1789717454703783936	1789717454703785984	1789717454703789056	16	16	0	1	104389409916316	104389409923702
3	0	4	0	0	1789717454703789056	1789717454703790080	1789717454703790080	1789717454703793152	1789717454703794176	32	2	3	1	104389409934150	104389409942954
4	0	8	0	0	1789717454703794176	1789717454703797248	1789717454703797248	1789717454703798272	1789717454703800320	34	1	7	1	104389409954926	104389409957669
5	0	7	508	0	1789717454703800320	1789717454703801344	1789717454703801344	1789717454703802368	1789717454703803392	35	1	6	1	104389409964744	104389409967765
6	0	9	0	0	1789717454703803392	1789717454703804416	1789717454703804416	1789717454703805440	1789717454703806464	36	1	8	1	104389409974885	104389409976430
7	0	11	508	0	1789717454703806464	1789717454703807488	1789717454703807488	1789717454703836160	1789717454703837184	37	3	10	3	104389409983478	104389410061454
8	0	12	0	0	1789717454703837184	1789717454703848448	1789717454703848448	1789717454703852544	1789717454703854592	40	1	13	1	104389410096258	104389410106413
9	0	13	0	0	1789717454703854592	1789717454703856640	1789717454703856640	1789717454703859712	1789717454703860736	41	2	14	1	104389410119618	104389410127760
10	0	14	0	0	1789717454703860736	1789717454703862784	1789717454703862784	1789717454703864832	1789717454703865856	43	16	15	1	104389410136783	104389410142209
11	0	15	0	0	1789717454703865856	1789717454703866880	1789717454703866880	1789717454703870976	1789717454703873024	59	16	16	1	104389410148193	104389410158824
12	0	15	512	0	1789717454703873024	1789717454703874048	1789717454703874048	1789717454703877120	1789717454703879168	75	16	16	1	104389410167572	104389410176199
13	0	17	0	0	1789717454703879168	1789717454703879168	1789717454703879168	1789717454703883264	1789717454703884288	91	0	18	1	104389410182130	104389410192255
14	0	17	512	0	1789717454703885312	1789717454703885312	1789717454703885312	1789717454703888384	1789717454703890432	91	0	18	1	104389410198323	104389410206488
15	0	16	0	0	1789717454703890432	1789717454703891456	1789717454703891456	1789717454703895552	1789717454703896576	91	2	17	1	104389410216301	104389410225068
16	0	19	0	0	1789717454703896576	1789717454703902720	1789717454703902720	1789717454703905792	1789717454703906816	93	64	20	2	104389410247311	104389410255733
17	0	20	0	0	1789717454703906816	1789717454703908864	1789717454703908864	1789717454703915008	1789717454703917056	157	16	22	2	104389410264740	104389410280367
18	0	21	0	0	1789717454703917056	1789717454703920128	1789717454703920128	1789717454703923200	1789717454703925248	173	2	24	1	104389410295291	104389410303614
19	0	22	0	0	1789717454703925248	1789717454703926272	1789717454703926272	1789717454703928320	1789717454703929344	175	16	25	1	104389410310895	104389410316231
20	0	25	0	0	1789717454703929344	1789717454703930368	1789717454703931392	1789717454703934464	1789717454703936512	191	16	28	1	104389410324490	104389410335171
21	0	23	256	0	1789717454703936512	1789717454703937536	1789717454703937536	1789717454703941632	1789717454703942656	207	16	26	1	104389410343974	104389410352826
22	0	26	0	0	1789717454703942656	1789717454703944704	1789717454703944704	1789717454703947776	1789717454703948800	223	2	29	1	104389410361815	104389410370412
23	0	28	32	0	1789717454703948800	1789717454703949824	1789717454703949824	1789717454703952896	1789717454703953920	225	2	31	1	104389410376982	104389410385008
24	0	32	0	0	1789717454703953920	1789717454703955968	1789717454703955968	1789717454703956992	1789717454703958016	227	1	35	1	104389410394898	104389410396710
25	0	33	508	0	1789717454703958016	1789717454703963136	1789717454703963136	1789717454703990784	1789717454703991808	228	3	36	3	104389410414276	104389410490398
26	0	34	0	0	1789717454703992832	1789717454704004096	1789717454704004096	1789717454704008192	1789717454704010240	231	1	39	2	104389410528260	104389410539707
27	0	35	0	0	1789717454704011264	1789717454704012288	1789717454704012288	1789717454704016384	1789717454704017408	232	2	41	1	104389410550823	104389410559961
28	0	36	0	0	1789717454704017408	1789717454704018432	1789717454704019456	1789717454704020480	1789717454704022528	234	16	42	1	104389410568477	104389410573848
29	0	37	0	0	1789717454704022528	1789717454704023552	1789717454704023552	1789717454704028672	1789717454704029696	250	16	43	1	104389410582186	104389410594179
30	0	37	512	0	1789717454704029696	1789717454704030720	1789717454704031744	1789717454704034816	1789717454704036864	266	16	43	1	104389410602475	104389410612135
31	0	39	0	0	1789717454704036864	1789717454704036864	1789717454704037888	1789717454704040960	1789717454704043008	282	0	45	1	104389410619223	104389410628827
32	0	39	512	0	1789717454704043008	1789717454704043008	1789717454704044032	1789717454704047104	1789717454704048128	282	0	45	1	104389410636516	104389410645338
33	0	38	0	0	1789717454704048128	1789717454704049152	1789717454704049152	1789717454704052224	1789717454704053248	282	2	44	1	104389410652341	104389410660301
34	0	41	0	0	1789717454704053248	1789717454704059392	1789717454704059392	1789717454704062464	1789717454704063488	284	64	47	2	104389410680802	104389410688997
35	0	42	0	0	1789717454704063488	1789717454704064512	1789717454704064512	1789717454704070656	1789717454704072704	348	16	49	2	104389410695650	104389410710157
36	0	43	0	0	1789717454704072704	1789717454704075776	1789717454704075776	1789717454704078848	1789717454704078848	364	2	51	1	104389410726098	104389410733083
37	1	0	1	0	1789717454703770624	1789717454703770624	1789717454703770624	1789717454703773696	1789717454703774720	366	0	0	0	104389409882007	104389409887824
38	1	3	1	0	1789717454703775744	1789717454703776768	1789717454703776768	1789717454703781888	1789717454703783936	366	16	2	1	104389409897127	104389409910520
39	1	1	257	0	1789717454703783936	1789717454703784960	1789717454703784960	1789717454703789056	1789717454703791104	382	16	0	1	104389409921373	104389409932139
40	1	4	1	0	1789717454703791104	1789717454703792128	1789717454703792128	1789717454703794176	1789717454703796224	398	2	3	1	104389409939895	104389409946494
41	1	8	1	0	1789717454703796224	1789717454703797248	1789717454703797248	1789717454703798272	1789717454703799296	400	1	7	1	104389409953180	104389409955677
42	1	7	509	0	1789717454703799296	1789717454703800320	1789717454703800320	1789717454703801344	1789717454703802368	401	1	6	1	104389409962331	104389409964825
43	1	9	1	0	1789717454703802368	1789717454703803392	1789717454703803392	1789717454703804416	1789717454703805440	402	1	8	1	104389409971495	104389409973586
44	1	11	509	0	1789717454703805440	1789717454703807488	1789717454703807488	1789717454703836160	1789717454703837184	403	3	10	3	104389409983437	104389410062339
45	1	12	1	0	1789717454703838208	1789717454703848448	1789717454703848448	1789717454703853568	1789717454703855616	406	1	13	1	104389410096935	104389410110689
46	1	13	1	0	1789717454703855616	1789717454703856640	1789717454703856640	1789717454703860736	1789717454703861760	407	2	14	1	104389410119526	104389410128599
47	1	14	1	0	1789717454703862784	1789717454703862784	1789717454703862784	1789717454703864832	1789717454703865856	409	16	15	1	104389410136796	104389410142241
48	1	15	1	0	1789717454703866880	1789717454703866880	1789717454703866880	1789717454703872000	1789717454703874048	425	16	16	1	104389410148217	104389410160194
49	1	15	513	0	1789717454703874048	1789717454703874048	1789717454703874048	1789717454703878144	1789717454703880192	441	16	16	1	104389410168136	104389410177699
50	1	17	1	0	1789717454703880192	1789717454703880192	1789717454703881216	1789717454703884288	1789717454703886336	457	0	18	1	104389410186036	104389410194956
51	1	17	513	0	1789717454703887360	1789717454703887360	1789717454703887360	1789717454703890432	1789717454703892480	457	0	18	1	104389410203883	104389410213517
52	1	16	1	0	1789717454703892480	1789717454703894528	1789717454703894528	1789717454703897600	1789717454703898624	457	2	17	1	104389410223086	104389410230992
53	1	19	1	0	1789717454703898624	1789717454703902720	1789717454703902720	1789717454703905792	1789717454703906816	459	64	20	2	104389410247331	104389410255643
54	1	20	1	0	1789717454703907840	1789717454703908864	1789717454703909888	1789717454703916032	1789717454703918080	523	16	22	2	104389410264800	104389410284058
55	1	21	1	0	1789717454703919104	1789717454703919104	1789717454703920128	1789717454703922176	1789717454703924224	539	2	24	1	104389410293244	104389410301478
56	1	22	1	0	1789717454703924224	1789717454703926272	1789717454703926272	1789717454703928320	1789717454703929344	541	16	25	1	104389410312838	104389410317365
57	1	25	1	0	1789717454703929344	1789717454703930368	1789717454703931392	1789717454703935488	1789717454703937536	557	16	28	1	104389410324434	104389410336766
58	1	23	257	0	1789717454703937536	1789717454703938560	1789717454703938560	1789717454703941632	1789717454703943680	573	16	26	1	104389410344687	104389410354076
59	1	26	1	0	1789717454703943680	1789717454703944704	1789717454703944704	1789717454703948800	1789717454703949824	589	2	29	1	104389410363805	104389410372538
60	1	28	33	0	1789717454703949824	1789717454703950848	1789717454703950848	1789717454703952896	1789717454703954944	591	2	31	1	104389410378772	104389410386343
61	1	32	1	0	1789717454703954944	1789717454703955968	1789717454703955968	1789717454703956992	1789717454703958016	593	1	35	1	104389410394841	104389410396746
62	1	33	509	0	1789717454703958016	1789717454703963136	1789717454703963136	1789717454703990784	1789717454703991808	594	3	36	3	104389410414228	104389410490756
63	1	34	1	0	1789717454703992832	1789717454704004096	1789717454704004096	1789717454704009216	1789717454704011264	597	1	39	2	104389410528272	104389410541508
64	1	35	1	0	1789717454704011264	1789717454704012288	1789717454704012288	1789717454704016384	1789717454704017408	598	2	41	1	104389410550849	104389410559981
65	1	36	1	0	1789717454704018432	1789717454704019456	1789717454704019456	1789717454704020480	1789717454704023552	600	16	42	1	104389410568557	104389410573807
66	1	37	1	0	1789717454704023552	1789717454704024576	1789717454704024576	1789717454704028672	1789717454704030720	616	16	43	1	104389410583180	104389410595745
67	1	37	513	0	1789717454704030720	1789717454704031744	1789717454704031744	1789717454704034816	1789717454704036864	632	16	43	1	104389410603080	104389410613231
68	1	39	1	0	1789717454704037888	1789717454704037888	1789717454704037888	1789717454704040960	1789717454704041984	648	0	45	1	104389410620164	104389410629215
69	1	39	513	0	1789717454704043008	1789717454704043008	1789717454704043008	1789717454704047104	1789717454704049152	648	0	45	1	104389410635569	104389410646578
70	1	38	1	0	1789717454704049152	1789717454704050176	1789717454704051200	1789717454704053248	1789717454704055296	648	2	44	1	104389410656551	104389410664344
71	1	41	1	0	1789717454704055296	1789717454704059392	1789717454704059392	1789717454704062464	1789717454704063488	650	64	47	2	104389410680831	104389410688832
72	1	42	1	0	1789717454704063488	1789717454704064512	1789717454704064512	1789717454704071680	1789717454704073728	714	16	49	2	104389410695718	104389410715201
73	1	43	1	0	1789717454704074752	1789717454704074752	1789717454704074752	1789717454704077824	1789717454704077824	730	2	51	1	104389410723522	104389410731649
74	2	0	2	0	1789717454703770624	1789717454703770624	1789717454703770624	1789717454703773696	1789717454703774720	732	0	0	0	104389409882075	104389409887844
75	2	3	2	0	1789717454703775744	1789717454703776768	1789717454703776768	1789717454703781888	1789717454703783936	732	16	2	1	104389409897139	104389409912905
76	2	1	258	0	1789717454703783936	1789717454703784960	1789717454703785984	1789717454703790080	1789717454703791104	748	16	0	1	104389409921765	104389409933952
77	2	4	2	0	1789717454703792128	1789717454703792128	1789717454703792128	1789717454703794176	1789717454703796224	764	2	3	1	104389409940702	104389409946515
78	2	8	2	0	1789717454703796224	1789717454703797248	1789717454703797248	1789717454703798272	1789717454703799296	766	1	7	1	104389409953260	104389409955726
79	2	7	510	0	1789717454703799296	1789717454703800320	1789717454703800320	1789717454703801344	1789717454703802368	767	1	6	1	104389409962395	104389409964842
80	2	9	2	0	1789717454703802368	1789717454703803392	1789717454703803392	1789717454703804416	1789717454703805440	768	1	8	1	104389409971600	104389409973629
81	2	11	510	0	1789717454703805440	1789717454703807488	1789717454703807488	1789717454703839232	1789717454703840256	769	3	10	3	104389409983315	104389410069421
82	2	12	2	0	1789717454703840256	1789717454703848448	1789717454703848448	1789717454703854592	1789717454703855616	772	1	13	1	104389410097040	104389410111895
83	2	13	2	0	1789717454703855616	1789717454703856640	1789717454703856640	1789717454703859712	1789717454703860736	773	2	14	1	104389410118198	104389410127162
84	2	14	2	0	1789717454703860736	1789717454703862784	1789717454703862784	1789717454703864832	1789717454703865856	775	16	15	1	104389410136731	104389410142198
85	2	15	2	0	1789717454703865856	1789717454703866880	1789717454703866880	1789717454703873024	1789717454703874048	791	16	16	1	104389410148235	104389410163077
86	2	15	514	0	1789717454703875072	1789717454703876096	1789717454703877120	1789717454703880192	1789717454703883264	807	16	16	1	104389410174922	104389410183420
87	2	17	2	0	1789717454703883264	1789717454703883264	1789717454703884288	1789717454703886336	1789717454703889408	823	0	18	1	104389410194112	104389410202350
88	2	17	514	0	1789717454703889408	1789717454703889408	1789717454703890432	1789717454703892480	1789717454703894528	823	0	18	1	104389410210856	104389410217556
89	2	16	2	0	1789717454703894528	1789717454703895552	1789717454703895552	1789717454703898624	1789717454703899648	823	2	17	1	104389410226526	104389410233803
90	2	19	2	0	1789717454703899648	1789717454703902720	1789717454703902720	1789717454703905792	1789717454703906816	825	64	20	2	104389410247255	104389410255274
91	2	20	2	0	1789717454703906816	1789717454703908864	1789717454703909888	1789717454703917056	1789717454703919104	889	16	22	2	104389410264818	104389410286840
92	2	21	2	0	1789717454703919104	1789717454703920128	1789717454703920128	1789717454703923200	1789717454703925248	905	2	24	1	104389410295367	104389410303626
93	2	22	2	0	1789717454703925248	1789717454703926272	1789717454703926272	1789717454703928320	1789717454703929344	907	16	25	1	104389410312762	104389410317410
94	2	25	2	0	1789717454703929344	1789717454703930368	1789717454703931392	1789717454703936512	1789717454703938560	923	16	28	1	104389410324508	104389410340007
95	2	23	258	0	1789717454703938560	1789717454703940608	1789717454703940608	1789717454703943680	1789717454703945728	939	16	26	1	104389410352060	104389410360899
96	2	26	2	0	1789717454703945728	1789717454703946752	1789717454703946752	1789717454703949824	1789717454703950848	955	2	29	1	104389410368447	104389410375483
97	2	28	34	0	1789717454703950848	1789717454703951872	1789717454703951872	1789717454703953920	1789717454703954944	957	2	31	1	104389410381459	104389410387894
98	2	32	2	0	1789717454703954944	1789717454703955968	1789717454703955968	1789717454703956992	1789717454703958016	959	1	35	1	104389410394919	104389410396763
99	2	33	510	0	1789717454703958016	1789717454703963136	1789717454703963136	1789717454703993856	1789717454703994880	960	3	36	3	104389410414290	104389410498300
100	2	34	2	0	1789717454703994880	1789717454704004096	1789717454704004096	1789717454704010240	1789717454704011264	963	1	39	2	104389410528310	104389410544106
101	2	35	2	0	1789717454704012288	1789717454704012288	1789717454704012288	1789717454704016384	1789717454704017408	964	2	41	1	104389410551042	104389410559997
102	2	36	2	0	1789717454704017408	1789717454704018432	1789717454704019456	1789717454704020480	1789717454704023552	966	16	42	1	104389410568377	104389410573799
103	2	37	2	0	1789717454704023552	1789717454704024576	1789717454704024576	1789717454704029696	1789717454704030720	982	16	43	1	104389410583199	104389410598357
104	2	37	514	0	1789717454704031744	1789717454704032768	1789717454704033792	1789717454704037888	1789717454704040960	998	16	43	1	104389410609556	104389410619529
105	2	39	2	0	1789717454704040960	1789717454704040960	1789717454704040960	1789717454704045056	1789717454704048128	1014	0	45	1	104389410629312	104389410640597
106	2	39	514	0	1789717454704048128	1789717454704048128	1789717454704048128	1789717454704051200	1789717454704052224	1014	0	45	1	104389410648826	104389410656150
107	2	38	2	0	1789717454704053248	1789717454704053248	1789717454704053248	1789717454704056320	1789717454704058368	1014	2	44	1	104389410664246	104389410672745
108	2	41	2	0	1789717454704058368	1789717454704059392	1789717454704059392	1789717454704062464	1789717454704063488	1016	64	47	2	104389410681039	104389410689112
109	2	42	2	0	1789717454704063488	1789717454704064512	1789717454704064512	1789717454704073728	1789717454704074752	1080	16	49	2	104389410695728	104389410718460
110	2	43	2	0	1789717454704074752	1789717454704075776	1789717454704075776	1789717454704078848	1789717454704078848	1096	2	51	1	104389410726170	104389410733147
111	3	0	3	2	1789717454703770624	1789717454703770624	1789717454703770624	1789717454703773696	1789717454703774720	1098	0	0	0	104435337670076	104435337676020
112	3	3	3	2	1789717454703774720	1789717454703776768	1789717454703776768	1789717454703780864	1789717454703782912	1098	16	2	1	104435337685154	104435337695849
113	3	1	259	2	1789717454703782912	1789717454703783936	1789717454703783936	1789717454703787008	1789717454703789056	1114	16	0	1	104435337705016	104435337713922
114	3	4	3	2	1789717454703789056	1789717454703790080	1789717454703790080	1789717454703793152	1789717454703795200	1130	2	3	1	104435337722730	104435337731671
115	3	8	3	2	1789717454703795200	1789717454703797248	1789717454703797248	1789717454703798272	1789717454703800320	1132	1	7	1	104435337742956	104435337745921
116	3	7	511	2	1789717454703800320	1789717454703801344	1789717454703801344	1789717454703802368	1789717454703803392	1133	1	6	1	104435337752956	104435337755655
117	3	9	3	2	1789717454703803392	1789717454703804416	1789717454703804416	1789717454703805440	1789717454703806464	1134	1	8	1	104435337761992	104435337764005
118	3	11	511	2	1789717454703806464	1789717454703807488	1789717454703807488	1789717454703836160	1789717454703838208	1135	3	10	3	104435337771244	104435337850738
119	3	12	3	2	1789717454703838208	1789717454703848448	1789717454703848448	1789717454703852544	1789717454703854592	1138	1	13	1	104435337885384	104435337896307
120	3	13	3	2	1789717454703854592	1789717454703856640	1789717454703856640	1789717454703860736	1789717454703861760	1139	2	14	1	104435337907904	104435337917353
121	3	14	3	2	1789717454703862784	1789717454703862784	1789717454703863808	1789717454703864832	1789717454703866880	1141	16	15	1	104435337925546	104435337930717
122	3	15	3	2	1789717454703866880	1789717454703866880	1789717454703866880	1789717454703870976	1789717454703873024	1157	16	16	1	104435337936613	104435337947317
123	3	15	515	2	1789717454703873024	1789717454703874048	1789717454703874048	1789717454703877120	1789717454703879168	1173	16	16	1	104435337955888	104435337963284
124	3	17	3	2	1789717454703879168	1789717454703879168	1789717454703880192	1789717454703882240	1789717454703884288	1189	0	18	1	104435337971142	104435337978600
125	3	17	515	2	1789717454703884288	1789717454703884288	1789717454703884288	1789717454703888384	1789717454703889408	1189	0	18	1	104435337984098	104435337994240
126	3	16	3	2	1789717454703889408	1789717454703890432	1789717454703890432	1789717454703894528	1789717454703895552	1189	2	17	1	104435338001861	104435338011166
127	3	19	3	2	1789717454703895552	1789717454703902720	1789717454703902720	1789717454703905792	1789717454703906816	1191	64	20	2	104435338035427	104435338043439
128	3	20	3	2	1789717454703906816	1789717454703908864	1789717454703908864	1789717454703915008	1789717454703917056	1255	16	22	2	104435338052613	104435338068505
129	3	21	3	2	1789717454703917056	1789717454703920128	1789717454703920128	1789717454703923200	1789717454703925248	1271	2	24	1	104435338083913	104435338092596
130	3	22	3	2	1789717454703925248	1789717454703926272	1789717454703926272	1789717454703928320	1789717454703929344	1273	16	25	1	104435338099205	104435338104640
131	3	25	3	2	1789717454703929344	1789717454703930368	1789717454703930368	1789717454703934464	1789717454703936512	1289	16	28	1	104435338112490	104435338122631
132	3	23	259	2	1789717454703936512	1789717454703937536	1789717454703937536	1789717454703940608	1789717454703942656	1305	16	26	1	104435338131520	104435338139823
133	3	26	3	2	1789717454703942656	1789717454703943680	1789717454703943680	1789717454703946752	1789717454703948800	1321	2	29	1	104435338149519	104435338157720
134	3	28	35	2	1789717454703948800	1789717454703949824	1789717454703949824	1789717454703951872	1789717454703952896	1323	2	31	1	104435338164439	104435338171375
135	3	32	3	2	1789717454703953920	1789717454703955968	1789717454703955968	1789717454703956992	1789717454703958016	1325	1	35	1	104435338182678	104435338184983
136	3	33	511	2	1789717454703958016	1789717454703963136	1789717454703963136	1789717454703991808	1789717454703992832	1326	3	36	3	104435338202692	104435338281594
137	3	34	3	2	1789717454703993856	1789717454704004096	1789717454704004096	1789717454704008192	1789717454704010240	1329	1	39	2	104435338317026	104435338328146
138	3	35	3	2	1789717454704010240	1789717454704012288	1789717454704012288	1789717454704016384	1789717454704017408	1330	2	41	1	104435338339290	104435338348793
139	3	36	3	2	1789717454704018432	1789717454704019456	1789717454704019456	1789717454704020480	1789717454704021504	1332	16	42	1	104435338357053	104435338362243
140	3	37	3	2	1789717454704022528	1789717454704024576	1789717454704024576	1789717454704028672	1789717454704029696	1348	16	43	1	104435338371383	104435338383448
141	3	37	515	2	1789717454704030720	1789717454704030720	1789717454704030720	1789717454704034816	1789717454704036864	1364	16	43	1	104435338390609	104435338401148
142	3	39	3	2	1789717454704036864	1789717454704036864	1789717454704037888	1789717454704039936	1789717454704043008	1380	0	45	1	104435338407798	104435338416174
143	3	39	515	2	1789717454704043008	1789717454704043008	1789717454704043008	1789717454704046080	1789717454704048128	1380	0	45	1	104435338423833	104435338432266
144	3	38	3	2	1789717454704048128	1789717454704049152	1789717454704049152	1789717454704053248	1789717454704054272	1380	2	44	1	104435338441361	104435338450458
145	3	41	3	2	1789717454704054272	1789717454704059392	1789717454704059392	1789717454704062464	1789717454704063488	1382	64	47	2	104435338469217	104435338476853
146	3	42	3	2	1789717454704063488	1789717454704064512	1789717454704064512	1789717454704069632	1789717454704072704	1446	16	49	2	104435338483549	104435338497713
147	3	43	3	2	1789717454704072704	1789717454704075776	1789717454704075776	1789717454704078848	1789717454704079872	1462	2	51	1	104435338514666	104435338523454
148	4	0	4	2	1789717454703770624	1789717454703770624	1789717454703770624	1789717454703773696	1789717454703774720	1464	0	0	0	104435337670136	104435337676015
149	4	3	4	2	1789717454703774720	1789717454703776768	1789717454703776768	1789717454703780864	1789717454703782912	1464	16	2	1	104435337685181	104435337697237
150	4	1	260	2	1789717454703782912	1789717454703783936	1789717454703783936	1789717454703788032	1789717454703789056	1480	16	0	1	104435337705018	104435337715772
151	4	4	4	2	1789717454703790080	1789717454703791104	1789717454703791104	1789717454703794176	1789717454703795200	1496	2	3	1	104435337724354	104435337732418
152	4	8	4	2	1789717454703795200	1789717454703797248	1789717454703797248	1789717454703798272	1789717454703800320	1498	1	7	1	104435337743071	104435337745945
153	4	9	4	2	1789717454703800320	1789717454703801344	1789717454703801344	1789717454703802368	1789717454703803392	1499	1	8	1	104435337752906	104435337755060
154	4	7	504	2	1789717454703803392	1789717454703804416	1789717454703804416	1789717454703805440	1789717454703806464	1500	1	6	1	104435337761994	104435337764601
155	4	11	504	2	1789717454703806464	1789717454703807488	1789717454703807488	1789717454703837184	1789717454703838208	1501	3	10	3	104435337771377	104435337852646
156	4	12	4	2	1789717454703838208	1789717454703848448	1789717454703848448	1789717454703853568	1789717454703855616	1504	1	13	1	104435337885445	104435337899016
157	4	13	4	2	1789717454703855616	1789717454703856640	1789717454703856640	1789717454703859712	1789717454703860736	1505	2	14	1	104435337906173	104435337915600
158	4	14	4	2	1789717454703860736	1789717454703862784	1789717454703862784	1789717454703864832	1789717454703865856	1507	16	15	1	104435337925365	104435337930734
159	4	15	4	2	1789717454703866880	1789717454703866880	1789717454703866880	1789717454703872000	1789717454703874048	1523	16	16	1	104435337936552	104435337949315
160	4	15	516	2	1789717454703874048	1789717454703875072	1789717454703875072	1789717454703879168	1789717454703881216	1539	16	16	1	104435337959233	104435337968458
161	4	17	4	2	1789717454703881216	1789717454703881216	1789717454703881216	1789717454703884288	1789717454703886336	1555	0	18	1	104435337975851	104435337983354
162	4	17	516	2	1789717454703886336	1789717454703887360	1789717454703887360	1789717454703889408	1789717454703891456	1555	0	18	1	104435337991959	104435337998643
163	4	16	4	2	1789717454703891456	1789717454703892480	1789717454703892480	1789717454703895552	1789717454703897600	1555	2	17	1	104435338007546	104435338015620
164	4	19	4	2	1789717454703897600	1789717454703902720	1789717454703902720	1789717454703905792	1789717454703906816	1557	64	20	2	104435338035479	104435338043928
165	4	20	4	2	1789717454703907840	1789717454703908864	1789717454703908864	1789717454703916032	1789717454703918080	1621	16	22	2	104435338052619	104435338071631
166	4	21	4	2	1789717454703918080	1789717454703920128	1789717454703920128	1789717454703923200	1789717454703925248	1637	2	24	1	104435338083956	104435338092602
167	4	22	4	2	1789717454703925248	1789717454703926272	1789717454703926272	1789717454703928320	1789717454703929344	1639	16	25	1	104435338099264	104435338104668
168	4	25	4	2	1789717454703929344	1789717454703930368	1789717454703930368	1789717454703935488	1789717454703937536	1655	16	28	1	104435338112574	104435338125192
169	4	23	260	2	1789717454703937536	1789717454703938560	1789717454703938560	1789717454703941632	1789717454703943680	1671	16	26	1	104435338133626	104435338143281
170	4	26	4	2	1789717454703943680	1789717454703944704	1789717454703944704	1789717454703947776	1789717454703948800	1687	2	29	1	104435338152168	104435338158965
171	4	28	36	2	1789717454703948800	1789717454703949824	1789717454703949824	1789717454703951872	1789717454703952896	1689	2	31	1	104435338165224	104435338171393
172	4	32	4	2	1789717454703953920	1789717454703955968	1789717454703955968	1789717454703956992	1789717454703958016	1691	1	35	1	104435338182609	104435338184992
173	4	33	504	2	1789717454703958016	1789717454703963136	1789717454703963136	1789717454703992832	1789717454703994880	1692	3	36	3	104435338202755	104435338285861
174	4	34	4	2	1789717454703994880	1789717454704004096	1789717454704004096	1789717454704009216	1789717454704010240	1695	1	39	2	104435338317040	104435338329707
175	4	35	4	2	1789717454704011264	1789717454704012288	1789717454704012288	1789717454704016384	1789717454704017408	1696	2	41	1	104435338339417	104435338349756
176	4	36	4	2	1789717454704017408	1789717454704018432	1789717454704019456	1789717454704020480	1789717454704021504	1698	16	42	1	104435338356872	104435338362267
177	4	37	4	2	1789717454704022528	1789717454704023552	1789717454704024576	1789717454704028672	1789717454704029696	1714	16	43	1	104435338371336	104435338384439
178	4	37	516	2	1789717454704030720	1789717454704030720	1789717454704030720	1789717454704035840	1789717454704037888	1730	16	43	1	104435338390621	104435338403926
179	4	39	4	2	1789717454704037888	1789717454704037888	1789717454704037888	1789717454704041984	1789717454704044032	1746	0	45	1	104435338410648	104435338419364
180	4	39	516	2	1789717454704044032	1789717454704044032	1789717454704044032	1789717454704047104	1789717454704049152	1746	0	45	1	104435338426169	104435338434456
181	4	38	4	2	1789717454704049152	1789717454704050176	1789717454704050176	1789717454704053248	1789717454704055296	1746	2	44	1	104435338443688	104435338452757
182	4	41	4	2	1789717454704055296	1789717454704059392	1789717454704059392	1789717454704062464	1789717454704063488	1748	64	47	2	104435338469219	104435338476807
183	4	42	4	2	1789717454704063488	1789717454704064512	1789717454704064512	1789717454704071680	1789717454704073728	1812	16	49	2	104435338483601	104435338502276
184	4	43	4	2	1789717454704073728	1789717454704075776	1789717454704075776	1789717454704078848	1789717454704079872	1828	2	51	1	104435338514749	104435338523464
185	5	0	5	2	1789717454703770624	1789717454703770624	1789717454703770624	1789717454703773696	1789717454703774720	1830	0	0	0	104435337670203	104435337676054
186	5	3	5	2	1789717454703775744	1789717454703776768	1789717454703776768	1789717454703782912	1789717454703783936	1830	16	2	1	104435337685374	104435337701364
187	5	1	261	2	1789717454703783936	1789717454703785984	1789717454703787008	1789717454703790080	1789717454703792128	1846	16	0	1	104435337713261	104435337721841
188	5	4	5	2	1789717454703792128	1789717454703792128	1789717454703793152	1789717454703795200	1789717454703796224	1862	2	3	1	104435337729576	104435337736243
189	5	8	5	2	1789717454703796224	1789717454703797248	1789717454703797248	1789717454703798272	1789717454703800320	1864	1	7	1	104435337743131	104435337745967
190	5	9	5	2	1789717454703800320	1789717454703801344	1789717454703801344	1789717454703802368	1789717454703803392	1865	1	8	1	104435337752982	104435337755082
191	5	7	505	2	1789717454703803392	1789717454703804416	1789717454703804416	1789717454703805440	1789717454703806464	1866	1	6	1	104435337761932	104435337764620
192	5	11	505	2	1789717454703806464	1789717454703807488	1789717454703807488	1789717454703838208	1789717454703839232	1867	3	10	3	104435337771397	104435337855807
193	5	12	5	2	1789717454703839232	1789717454703848448	1789717454703848448	1789717454703854592	1789717454703856640	1870	1	13	1	104435337885469	104435337901005
194	5	13	5	2	1789717454703856640	1789717454703857664	1789717454703857664	1789717454703860736	1789717454703861760	1871	2	14	1	104435337908627	104435337917020
195	5	14	5	2	1789717454703862784	1789717454703862784	1789717454703863808	1789717454703864832	1789717454703866880	1873	16	15	1	104435337925488	104435337930752
196	5	15	5	2	1789717454703866880	1789717454703866880	1789717454703866880	1789717454703873024	1789717454703874048	1889	16	16	1	104435337936634	104435337951703
