stage	logical_stage	combine	task_ns	count
0	0	0	2144	128
1	1	0	5848	128
2	2	0	5536	128
3	3	0	6056	128
4	4	0	1126	512
5	5	0	1024	512
6	6	0	684	512
7	7	0	774	512
8	8	0	19156	512
9	9	0	14216	128
10	10	0	2048	128
11	11	0	6522	256
12	12	0	6110	256
13	13	0	3072	128
14	14	0	15400	128
15	15	0	2048	128
16	16	0	5772	128
17	17	0	5592	128
18	18	0	5772	128
19	19	0	1094	512
20	20	0	1030	512
21	21	0	762	512
22	22	0	820	512
23	23	0	19274	512
24	24	0	14784	128
25	25	0	2048	128
26	26	0	6550	256
27	27	0	6332	256
28	28	0	3072	128
29	29	0	15144	128
30	30	0	2048	128
31	31	0	6244	128
32	32	0	5772	128
33	33	0	5772	128
34	34	0	1152	512
35	35	0	1020	512
36	36	0	692	512
37	37	0	824	512
38	38	0	19322	512
39	39	0	14208	128
40	40	0	2048	128
41	41	0	6352	256
42	42	0	6474	256
43	43	0	3072	128
44	44	0	14832	128
45	45	0	2048	128
46	46	0	5536	128
47	47	0	5772	128
48	48	0	6244	128
49	49	0	1106	512
50	50	0	1020	512
51	51	0	710	512
52	52	0	822	512
53	53	0	19110	512
54	54	0	13932	128
55	55	0	2048	128
56	56	0	6508	256
57	57	0	6522	256
58	58	0	3072	128
59	59	0	15068	128
