stage	logical_stage	combine	task_ns	count
0	0	0	10240	4
1	1	0	55776.8	32
2	2	0	56446.4	8
3	3	0	56120	8
4	4	0	2048	128
5	5	0	2048	32
6	6	0	1024	32
7	7	0	1024	32
8	8	0	4240	128
9	9	0	58337.6	32
10	10	0	13312	4
11	11	0	96283.5	112
12	12	0	90815.9	112
13	13	0	30720	4
14	14	0	187492	32
15	15	0	13312	4
16	16	0	55791.2	32
17	17	0	56446.4	8
18	18	0	56230.4	8
19	19	0	1288	128
20	20	0	2048	32
21	21	0	1024	32
22	22	0	1024	32
23	23	0	5120	128
24	24	0	58308	32
25	25	0	13312	4
26	26	0	96649.3	112
27	27	0	87814.5	112
28	28	0	30976	4
29	29	0	187633	32
30	30	0	12288	4
31	31	0	55891.6	32
32	32	0	55998.4	8
33	33	0	56400	8
34	34	0	1544	128
35	35	0	2048	32
36	36	0	1024	32
37	37	0	1024	32
38	38	0	5120	128
39	39	0	58311.6	32
40	40	0	13312	4
41	41	0	88485.4	112
42	42	0	96343.1	112
43	43	0	32000	4
44	44	0	187354	32
45	45	0	13312	4
46	46	0	55628.8	32
47	47	0	55654.4	8
48	48	0	56038.4	8
49	49	0	2048	128
50	50	0	2048	32
51	51	0	1024	32
52	52	0	1056	32
53	53	0	5120	128
54	54	0	58296.8	32
55	55	0	13312	4
56	56	0	89744.7	112
57	57	0	96160.9	112
58	58	0	30720	4
59	59	0	187341	32
